LOCALIDADES,El Carmen,Nopala (Guadalupe Nopala),Loma de San Jos,Santiago Zacualuca,La Planada,Colonia Morelos,El Cid,Colonia Santo Toms,Prados San Francisco,Colonia Lzaro Crdenas del Ro,San Miguel,Benito Jurez,San Pedro Tepetitln,Colonia la Asuncin,Unidad San Miguel Jageyes,El Dorado Huehuetoca,San Juan Teacalco,Santo Domingo Aztacameca,Prados de San Juan,Oxtotipac,Fraccionamiento Santa Cruz Tecmac,Lomas de Tenopalco,Barrio Tlatenco,Ocopulco,Axapusco,Santa Mara Huecatitla,Colonia Lzaro Crdenas (Los Hornos),San Francisco Mazapa,Caada de Cisneros,Santa Mara Cuevas (Cuevas),Cuautlacingo,Puerto Mag,San Francisco Tenopalco,Nopaltepec,Ixtlahuaca de Cuauhtmoc,Colonia el Salado,Santa Mara,Colonia Santa Luca,Villa URBI del Rey,Santa Luca,Colonia 2 de Septiembre,San Miguel Jaltocan,Santiago Chimalpa (Chimalpa),General Felipe ngeles (Los ngeles),La Providencia,San Bartolom Actopan,Loma Larga,San Buenaventura,Hueypoxtla,Transfiguracin,Villas de la Laguna,Axotln,San Marcos Nepantla,Tepojaco,San Pedro Xalpa,San Miguel Jageyes,Santa Mara de Guadalupe,San Jos de la Loma,San Miguel Hila,Santiago Tolman,Loma Alta,Santa Isabel Ixtapan,San Pedro Huaquilpan,San Miguel Xometla,Atlatongo,Zapotln de Jurez,San Francisco Mag,Nueva Santa Rosa,Ex-Hacienda Santa Ins,San Bartolo,Santa Catarina,Huitzila,Arbolada los Sauces,San Jos el Vidrio,Tezontepec,San Mateo Ixtacalco,Santa Mara Magdalena Cahuacn,San Pablo Tecalco,San Sebastin Xolalpa,San Lorenzo Tlalmimilolpan,Acolman de Nezahualcyotl,San Luis Tecuahutitln,Concepcin Jolalpan,Santa Ana Tlachihualpa,Quinto Barrio (Ejido Cahuacn),Granjas Ampliacin Santa Rosa,San Sebastin,Salitrillo,Temascalapa,San Bartolo,Tlapanaloya,Tequisistln,San Cristbal Nexquipayac,Santa Cruz del Monte,Santa Mara Tonanitla,Tolcayuca,Fraccionamiento Paseos de Tultepec II,Ejido de Coyotepec,San Francisco Zacacalco,San Bartolo,Jilotzingo,Villa del Carbn,San Mateo Xoloc,Ex-Hacienda de Jalpa,Galaxia Cuautitln,Santa Mara Ajoloapan,Ejido de Tequisistln Primero,Santiago Cuautlalpan,Paseos de San Juan,Otumba de Gmez Faras,Fraccionamiento la Trinidad,Puerto Escondido (Tepeolulco Puerto Escondido),San Bartolo Cuautlalpan,Jaltenco,Progreso Industrial,Huehuetoca,San Martn de las Pirmides,Veintids de Febrero,Haciendas de Tizayuca,Santa Ana Nextlalpan,Fraccionamiento Social Progresivo Santo Toms Chiconautla,Alborada Jaltenco,Tecmac de Felipe Villanueva,Ampliacin San Mateo (Colonia Solidaridad),Tezoyuca,San Salvador Atenco,Huilango,Santiago Teyahualco,Don Antonio,Santa Mara Ajoloapan,San Juan Zitlaltepec,Chiconcuac de Jurez,Los Reyes Acozac,Tequixquiac,Teotihuacn de Arista,Tultitln de Mariano Escobedo,San Martn Azcatepec,Coyotepec,Colonia Santa Teresa,Tepotzotln,Melchor Ocampo,Tizayuca,Zumpango de Ocampo,Teoloyucan,Tultepec,Fuentes del Valle,Tepexpan,Cuautitln,San Pablo de las Salinas,Buenavista,Ojo de Agua,San Francisco Coacalco,Villa Nicols Romero,Azcapotzalco,Cuautitln Izcalli,Ciudad Lpez Mateos,Tlalnepantla,Naucalpan de Jurez,Gustavo A. Madero,Ecatepec de Morelos, 
Fraccionamiento Social Progresivo Santo Toms Chiconautla,31.007,41.122,61.346,13.385,39.982,61.965,34.464,38.841,25.805,42.106,45.135,57.823,25.5,8.422,51.385,60.075,26.621,48.259,4.556,39.093,12.557,26.094,38.45,19.473,44.514,38.16,34.59,34.435,63.854,45.532,39.787,67.509,27.576,51.534,36.521,11.261,53.324,19.987,48.421,12.758,26.356,10.902,17.547,33.373,33.312,34.945,59.589,57.18,40.028,72.133,31.467,50.545,9.361,25.08,49.413,49.729,40.812,44.99,57.079,40.495,83.392,14.851,47.027,26.748,14.739,43.879,65.224,13.379,14.267,14.502,15.788,20.329,24.924,66.818,55.777,39.46,67.952,5.988,33.984,32.284,24.048,21.001,24.781,19.311,69.364,12.285,19.368,50.065,29.596,36.524,43.567,13.601,18.73,55.738,6.901,42.829,31.279,54.742,36.48,49.833,32.625,84.043,51.179,47.512,37.531,47.165,11.998,52.324,21.37,44.005,30.756,26.689,23.097,17.536,60.686,52.241,34.969,59.891,32.913,14.751,0,15.615,8.75,23.045,20.092,19.509,44.736,21.04,29.359,14.495,38.646,20.404,16.474,46.527,18.411,23.687,7.1,49.797,55.037,44.983,33.847,22.487,30.409,33.154,23.882,19.84,10.337,30.387,19.556,27.773,1.997,15.817,52.478,35.573,40.703,42.296,30.871,43.154,26.382,13.357, 
Alborada Jaltenco,42.577,52.692,40.281,26.581,22.623,40.9,46.033,21.482,8.441,25.099,28.128,69.392,25.485,7.823,34.751,43.441,38.191,48.244,16.174,39.078,25.753,8.73,21.091,25.112,44.499,20.801,12.88,34.42,42.789,28.525,39.772,46.444,10.212,51.519,48.09,16.799,36.69,15.968,31.787,25.953,8.992,9.996,23.186,44.942,15.953,46.514,38.524,40.546,33.969,51.068,26.052,29.48,28.876,36.649,32.406,33.095,23.805,27.983,36.014,40.48,66.758,20.49,58.596,26.733,27.797,55.448,44.159,19.018,6.771,26.634,23.841,34.835,20.482,45.753,67.346,15.031,46.887,20.559,33.969,32.269,24.033,32.571,30.42,30.881,48.299,17.924,16.862,33.431,41.165,19.165,37.509,19.24,24.369,39.104,9.262,54.398,12.252,38.421,48.05,32.826,34.207,67.409,30.114,30.505,15.222,42.422,17.637,31.259,21.66,43.99,26.698,26.695,24.815,12.974,39.621,35.607,34.954,38.826,44.483,12.245,15.615,0,23.028,14.445,25.948,25.365,25.932,9.927,41.182,28.788,24.684,26.26,23.798,32.565,32.84,11.914,24.281,24.01,41.478,26.179,12.224,39.886,19.13,18.485,9.104,11.239,16.193,14.153,3.576,19.172,16.101,6.355,33.674,34.578,21.899,27.092,29.085,36.402,25.387,12.362, 
Tecmac de Felipe Villanueva,25.384,35.499,67.041,4.831,36.518,67.66,28.841,44.536,31.5,28.541,31.57,52.2,17.026,15.303,57.08,44.94,20.998,31.636,13.96,23.534,4.003,31.789,44.145,30.993,50.209,43.855,40.285,20.245,69.549,31.967,45.482,73.204,33.271,57.229,30.898,22.68,38.188,12.998,54.116,5.768,32.051,17.783,29.067,27.75,39.007,29.322,65.284,62.875,33.038,77.828,24.477,56.24,7.473,19.457,35.848,55.424,27.248,31.425,62.774,46.19,89.087,26.371,41.404,16.001,10.456,38.256,70.919,24.899,29.83,12.086,15.139,13.34,17.934,72.513,50.154,45.155,73.647,5.152,18.425,13.983,13.766,15.378,36.301,13.688,75.059,23.805,17.516,55.76,23.973,42.219,36.577,25.121,30.25,61.433,13.782,37.206,36.974,60.437,30.857,36.268,25.635,89.738,56.874,33.947,43.226,41.542,23.518,58.019,14.381,49.7,23.766,32.384,16.107,23.57,66.381,37.279,17.398,65.586,27.29,21.828,8.75,23.028,0,28.937,31.772,31.188,50.628,26.932,23.419,7.282,29.066,32.083,9.261,35.765,12.32,29.579,3.562,55.689,60.929,50.875,39.739,15.274,23.197,39.046,29.774,25.732,22.016,36.279,25.448,33.665,8.315,21.709,58.37,41.465,46.595,48.188,36.763,49.046,32.274,19.249, 
Ampliacin San Mateo (Colonia Solidaridad),50.007,55.291,32.089,34.011,32.07,32.708,53.463,29.99,32.347,36.779,39.808,76.822,32.915,19.245,38.699,47.389,45.621,55.674,23.605,46.508,33.183,16.938,24.845,32.542,51.929,16.383,5.502,41.85,37.263,40.205,47.202,40.918,18.164,58.949,55.52,24.229,40.638,40.613,35.735,33.383,16.92,21.418,30.617,52.372,27.985,53.944,30.332,44.494,45.649,42.876,37.732,23.954,36.306,44.079,41.85,37.043,35.485,39.663,27.822,47.91,53.836,27.921,66.026,34.163,35.227,62.878,38.633,26.448,18.193,34.064,31.271,42.265,42.381,37.561,74.776,13.841,38.695,27.99,41.399,39.699,31.463,40.001,37.851,38.311,40.107,25.354,36.395,37.379,48.595,26.728,49.189,26.671,31.799,29.685,23.781,61.828,12.122,28.151,55.48,40.618,45.887,57.709,24.588,42.185,12.847,54.102,25.067,29.245,42.688,51.42,38.378,15.744,47.167,30.294,31.429,35.208,42.384,30.634,51.913,31.611,23.045,14.445,28.937,0,34.165,33.581,19.394,8.556,49.399,37.005,35.488,34.476,38.969,43.369,41.44,5.125,32.498,26.091,42.47,19.641,16.687,48.103,32.516,29.996,11.093,4.246,24.409,9.484,12.544,4.812,24.318,8.805,27.136,23.07,15.361,17.13,12.565,24.324,22.929,20.026, 
Tezoyuca,52.842,62.957,71.223,16.675,49.859,71.842,56.298,48.718,35.682,51.983,55.012,46.615,5.779,35.064,61.262,69.952,42.302,31.747,13.326,22.581,18.882,35.971,48.327,2.98,28.002,48.037,44.467,17.923,73.731,55.409,23.275,77.386,37.453,35.022,72.887,15.648,63.201,43.448,58.298,36.218,36.233,37.237,4.208,55.207,43.189,46.765,69.466,67.057,60.853,82.01,52.936,60.422,11.327,46.914,59.29,59.606,50.689,54.867,66.956,23.983,93.269,9.037,74.182,7.632,10.267,71.034,75.101,10.212,34.012,9.104,6.292,45.1,53.255,76.695,46.041,49.337,77.829,14.377,17.472,10.804,8.497,26.283,9.352,29.494,79.241,11.582,44.103,59.942,51.43,46.401,64.393,7.787,5.604,65.615,29.552,69.983,41.156,64.619,58.315,59.71,60.956,93.92,61.056,57.389,47.408,89.245,9.782,62.201,44.831,27.493,53.582,36.587,51.428,45.498,70.563,62.118,18.457,69.768,54.748,39.486,20.092,25.948,31.772,34.165,0,8.398,53.746,30.05,48.66,36.266,47.656,7.208,38.23,55.537,16.332,32.697,17.386,58.807,64.047,53.993,42.857,47.364,44.684,42.164,32.892,28.85,12.023,39.397,28.566,36.783,19.112,24.827,61.488,45.489,49.713,52.212,40.787,53.07,36.298,23.273, 
San Salvador Atenco,52.258,62.373,68.405,22.758,47.041,69.024,55.714,45.9,32.863,49.165,52.194,54.537,13.036,32.245,58.444,67.134,50.224,39.669,17.071,30.503,24.965,33.152,45.509,8.885,35.924,45.219,41.649,25.845,70.913,52.591,31.197,74.568,34.634,42.944,57.771,15.064,60.383,42.864,55.48,35.634,33.414,34.418,6.959,54.623,40.371,56.195,66.648,64.239,58.035,79.192,50.118,57.604,17.41,46.33,56.472,56.788,47.871,52.049,64.138,31.905,90.451,8.454,68.277,14.889,19.221,65.129,72.283,9.629,31.193,18.058,12.756,44.516,52.671,73.877,53.963,46.519,75.011,17.546,25.394,23.694,15.457,34.205,9.612,40.562,76.423,10.999,41.284,57.124,50.846,43.583,61.575,7.204,5.02,62.797,28.968,64.079,38.338,61.801,57.731,56.892,60.372,91.102,58.238,54.571,44.59,68.416,9.199,59.383,44.247,35.415,50.764,36.101,50.844,42.68,67.745,59.3,26.379,66.95,54.164,36.667,19.509,25.365,31.188,33.581,8.398,0,54.191,30.494,49.104,36.71,48.101,3.287,38.674,55.982,23.26,33.141,24.656,59.252,64.492,54.438,43.302,47.808,45.129,42.609,33.337,29.294,12.468,39.842,29.01,37.227,19.556,25.271,61.933,45.934,50.158,52.657,41.232,53.515,36.743,23.718, 
Huilango,71.698,63.105,10.989,55.702,19.549,11.608,75.154,17.47,40.161,28.897,47.622,98.513,54.606,29.4,26.179,34.869,67.312,77.365,45.296,68.199,54.874,19.437,12.325,54.233,73.62,13.847,15.596,63.541,13.402,48.019,68.893,17.057,21.068,80.64,77.211,46.736,28.118,50.578,23.215,55.074,19.113,31.573,52.308,74.063,17.06,75.635,12.898,31.974,53.463,26.473,45.546,2.858,57.997,65.77,29.33,24.523,28.286,24.399,14.44,69.601,33.543,49.612,87.717,55.854,56.918,84.569,14.772,48.139,28.348,55.755,52.962,63.956,50.195,22.302,96.467,12.754,20.49,49.681,63.09,61.39,53.154,61.692,59.542,60.002,21.902,47.045,44.209,24.859,70.286,14.208,53.713,48.362,53.49,17.165,44.865,83.519,15.913,15.631,77.171,28.098,53.701,37.416,3.874,24.209,11.964,61.916,46.758,4.416,50.502,73.111,46.192,54.395,54.981,38.108,14.192,22.687,64.075,14.645,73.604,39.425,44.736,25.932,50.628,19.394,53.746,54.191,0,20.489,72.411,60.017,23.168,56.516,61.981,37.34,63.095,16.673,55.51,20.237,36.616,7.402,17.599,71.115,26.487,14.453,17.155,19.125,46.449,11.713,24.954,18.163,47.33,23.684,10.841,31.566,6.171,26.547,25.503,32.82,31.425,42.618, 
Santiago Teyahualco,48.002,47.345,33.273,32.006,26.709,33.892,51.458,25.568,10.864,28.833,31.862,74.817,30.91,10.246,38.112,46.802,43.616,53.669,21.6,44.503,31.178,6.024,23.363,30.537,49.924,13.302,5.486,39.845,35.781,32.259,45.197,39.436,7.25,56.944,53.515,22.224,40.051,18.391,35.148,31.378,6.006,12.419,28.612,50.367,20.039,51.939,31.516,43.907,37.703,44.06,29.786,22.472,34.301,42.074,36.14,36.456,27.539,31.717,29.006,45.905,55.02,25.916,64.021,32.158,33.222,60.873,37.151,24.443,9.194,32.059,29.266,40.26,34.435,38.745,72.771,9.114,39.879,25.985,39.394,37.694,29.458,37.996,35.846,36.306,41.291,23.349,19.285,36.792,46.59,13.211,41.243,24.666,29.794,28.203,11.685,59.823,4.465,26.669,53.475,36.56,37.941,58.893,23.106,34.239,9.077,46.156,23.062,24.251,24.083,49.415,30.432,38.635,39.221,22.348,32.613,38.968,40.379,31.818,49.908,14.668,21.04,9.927,26.932,8.556,30.05,30.494,20.489,0,55.057,42.663,28.308,39.162,44.627,36.189,45.741,3.87,38.156,26.787,44.699,20.337,8.225,53.761,25.336,22.816,3.473,6.563,29.095,5.162,5.445,12.13,29.976,5.502,27.832,32.288,16.057,26.22,26.225,33.542,38.289,25.264, 
Don Antonio,4.317,14.432,85.195,22.94,40.827,85.814,1.52,39.51,49.654,32.85,35.879,18.006,49.349,35.912,75.234,49.249,16.761,27.4,40.209,43.073,22.112,49.943,62.299,49.147,49.129,62.009,58.439,35.236,87.703,26.062,54.316,91.358,51.425,43.594,10.768,40.834,42.497,20.451,72.27,17.331,50.205,33.348,47.221,7.308,57.161,15.587,83.438,81.029,35.95,95.982,28.786,74.394,31.219,5.722,40.157,73.578,31.557,35.734,80.928,51.602,107.241,44.525,20.962,50.597,28.565,17.814,89.073,43.053,47.984,30.195,47.705,8.664,22.243,90.667,15.96,63.309,91.801,28.305,37.964,35.934,47.897,21.925,54.455,20.236,93.213,41.959,26.01,42.648,10.238,60.373,40.055,43.275,48.404,46.728,34.391,16.764,55.128,45.194,9.79,40.577,20.48,107.892,75.028,38.256,61.38,20.475,41.672,76.173,22.553,51.855,28.075,50.538,12.688,32.064,84.535,41.588,32.794,83.74,6.223,30.322,29.359,41.182,23.419,49.399,48.66,49.104,72.411,55.057,0,21.097,27.898,55.513,19.573,34.597,39.715,53.009,28.998,37.726,78.027,74.305,39.046,9.097,22.029,38.353,53.204,49.162,45.446,59.709,48.878,57.095,33.372,45.139,81.8,64.895,70.025,71.618,60.193,72.476,55.704,42.679, 
Santa Mara Ajoloapan,18.736,22.687,72.801,11.216,31.875,73.42,22.193,30.558,37.26,23.898,26.927,45.552,36.955,21.048,62.84,40.297,14.858,25.496,27.815,30.386,10.388,37.549,49.905,36.753,29.732,49.615,46.045,22.549,75.309,27.324,27.698,78.964,39.031,35.99,24.25,28.44,33.545,8.355,59.876,3.771,37.811,20.211,34.827,21.102,44.767,20.135,71.044,68.635,28.395,83.588,19.834,62,16.355,12.809,31.205,61.184,22.605,26.782,68.534,25.235,94.847,32.131,34.756,38.203,16.841,31.608,76.679,30.659,35.59,18.471,35.311,8.696,13.291,78.273,43.506,50.915,79.407,13.441,25.277,23.247,20.151,9.238,42.061,7.549,80.819,29.565,12.873,33.696,14.169,47.979,31.934,30.881,36.01,37.776,19.527,30.558,42.734,36.242,24.209,31.625,20.992,95.498,62.634,29.304,48.986,28.791,29.278,63.779,9.738,29.167,19.123,38.144,11.464,18.927,72.141,32.636,20.107,71.346,16.641,17.185,14.495,28.788,7.282,37.005,36.266,36.71,60.017,42.663,21.097,0,24.651,38.272,4.847,31.35,15.948,35.768,10.131,34.479,45.488,57.064,35.799,10.86,18.782,35.106,35.963,31.921,28.205,42.468,31.637,39.854,14.504,27.898,64.559,47.654,52.784,54.377,42.952,55.235,38.463,25.438, 
San Juan Zitlaltepec,26.884,24.513,58.446,32.999,7.224,59.065,28.626,5.907,17.871,2.733,9.03,54.326,48.516,22.635,17.087,15.646,34.595,45.234,39.206,62.109,32.171,19.599,12.356,48.143,67.53,13.285,31.69,57.451,33.801,9.427,62.803,37.456,17.678,66.162,36.554,40.646,8.894,18.904,13.606,25.554,19.1,16.718,46.218,29.876,13.509,33.421,56.689,22.867,14.871,69.233,6.954,20.492,38.139,23.556,6.554,15.036,2.122,2.131,54.179,63.511,49.079,43.522,43.53,49.764,38.624,40.382,35.171,42.049,21.583,40.254,46.872,24.211,11.603,42.701,52.28,19.657,65.052,35.225,57,55.3,47.064,33.628,53.452,31.939,66.464,40.955,11.135,9.045,28.072,13.421,18.411,42.272,47.4,13.125,20.217,39.332,28.379,11.591,32.357,6.974,15.109,49.73,21.126,4.653,19.999,23.324,40.668,25.783,18.526,67.021,7.6,48.305,16.389,11.284,57.786,7.985,44.497,56.991,25.441,12.573,38.646,24.684,29.066,35.488,47.656,48.101,23.168,28.308,27.898,24.651,0,50.813,22.048,13.453,57.392,32.91,31.914,9.041,20.837,17.41,17.902,19.732,7.886,9.643,21.4,35.363,40.746,23.035,25.851,39.352,41.627,38.567,53.089,59.131,27.594,51.477,42.214,49.531,49.94,36.915, 
Chiconcuac de Jurez,53.153,63.268,69.3,23.653,47.936,69.919,56.609,46.795,33.758,50.06,53.089,55.432,11.399,33.14,59.339,68.029,51.119,40.564,17.966,17.382,25.86,34.047,46.404,5.719,36.819,46.114,42.544,26.74,71.808,53.486,32.092,75.463,35.529,43.839,58.666,15.959,61.278,43.759,56.375,36.529,34.309,35.313,3.691,55.518,41.266,57.09,67.543,65.134,58.93,80.087,51.013,58.499,18.305,47.225,57.367,57.683,48.766,52.944,65.033,32.8,91.346,9.349,69.172,13.252,20.116,66.024,73.178,10.524,32.088,18.953,13.651,45.411,53.566,74.772,54.858,47.414,75.906,18.441,26.289,16.424,16.352,35.1,6.569,41.457,77.318,11.894,42.179,58.019,51.741,44.478,62.47,8.099,5.915,63.692,29.863,64.974,39.233,62.696,58.626,57.787,61.267,91.997,59.133,55.466,45.485,69.311,10.094,60.278,45.142,36.31,51.659,36.996,51.739,43.575,68.64,60.195,27.274,67.845,55.059,37.562,20.404,26.26,32.083,34.476,7.208,3.287,56.516,39.162,55.513,38.272,50.813,0,39.517,56.825,24.103,33.985,25.499,60.095,65.335,55.281,44.145,48.651,45.972,43.452,34.18,30.138,13.311,40.685,29.854,38.071,20.399,26.115,62.776,46.777,51.001,53.5,42.075,54.358,37.586,24.561, 
Los Reyes Acozac,17.212,21.163,74.765,13.195,29.272,75.384,20.669,27.955,22.412,21.295,24.324,44.028,38.919,20.399,40.547,37.694,19.444,30.082,21.684,34.972,12.367,23.029,26.887,38.717,34.318,26.597,48.009,27.135,48.332,24.721,32.284,51.987,24.511,55.864,22.726,30.404,30.942,4.322,37.583,5.75,23.291,16.179,36.791,19.578,21.749,21.15,73.008,46.342,25.792,85.552,17.231,35.023,18.334,11.285,28.602,38.891,20.002,24.179,70.498,29.821,72.554,34.095,33.232,24.365,18.82,30.084,49.702,32.623,17.944,20.45,23.298,7.172,10.688,80.237,41.982,27.897,81.371,15.42,29.863,22.347,22.13,13.824,44.025,12.135,82.783,31.529,8.841,31.093,15.801,24.961,29.331,32.845,37.974,35.173,21.506,29.034,44.698,33.639,22.685,29.022,18.389,73.205,35.657,26.701,28.239,27.267,31.242,40.314,5.706,33.753,16.52,40.108,8.861,14.894,74.105,30.033,24.693,73.31,15.117,13.153,16.474,23.798,9.261,38.969,38.23,38.674,61.981,44.627,19.573,4.847,22.048,39.517,0,28.712,20.76,37.747,12.109,31.841,48.191,32.877,25.891,9.335,11.74,25.198,24.761,33.9,30.184,44.447,33.616,41.833,16.483,29.877,66.538,49.633,54.763,56.356,44.931,57.214,40.442,27.417, 
Tequixquiac,33.583,21.64,66.327,39.698,20.677,66.946,35.325,19.36,25.752,10.797,4.423,60.972,56.397,30.516,21.851,20.668,41.294,72.206,47.087,69.99,38.87,27.48,26.528,56.024,75.404,26.238,39.571,65.332,47.973,12.877,80.591,51.628,25.559,69.869,48.882,48.527,11.371,25.603,18.37,32.253,26.981,24.598,54.099,44.048,21.39,40.12,64.57,45.735,11.998,77.114,13.653,34.664,44.838,30.255,11.937,19.8,11.406,15.584,62.06,77.877,71.947,51.403,50.177,57.645,45.323,47.029,49.343,49.93,29.464,46.953,54.753,30.91,18.302,71.799,58.926,27.538,72.933,41.924,64.881,63.181,54.945,40.327,61.333,38.638,74.345,48.836,22.76,13.809,34.771,24.602,7.835,50.153,55.281,21.854,28.097,45.978,36.26,20.32,23.859,10.868,18.559,72.598,35.298,18.106,27.88,20.451,48.549,39.955,25.225,78.13,14.299,56.186,23.088,19.164,65.667,12.749,51.196,64.872,32.14,20.453,46.527,32.565,35.765,43.369,55.537,55.982,37.34,36.189,34.597,31.35,13.453,56.825,28.712,0,64.091,39.609,38.613,19.001,27.117,32.627,24.601,26.431,14.585,23.908,28.099,42.062,47.445,29.734,32.55,46.051,48.326,45.266,59.788,65.83,48.012,58.176,58.18,65.497,56.639,43.614, 
Teotihuacn de Arista,37.354,47.469,75.879,7.453,54.515,76.498,31.799,53.374,40.338,56.639,59.668,35.776,8.503,39.72,65.918,74.608,17.686,20.908,17.594,10.603,9.66,40.627,52.983,13.474,17.163,52.693,49.123,7.314,78.387,60.065,12.143,82.042,42.109,24.184,30.699,22.966,67.857,24.268,62.954,17.038,40.889,41.893,21.377,57.215,47.845,23.223,74.122,71.713,76.376,86.666,35.747,65.078,7.202,31.427,63.946,64.262,55.345,59.523,71.612,10.709,97.925,18.681,63.344,6.744,4.668,60.196,79.757,19.856,38.668,6.789,12.54,24.61,29.204,81.351,35.202,53.993,82.485,10.252,5.494,3.058,8.469,12.536,20.53,15.747,83.897,21.316,28.786,64.598,22.437,51.057,80.481,17.431,22.56,70.271,35.709,59.145,45.812,69.275,42.827,64.366,36.905,98.576,65.712,62.045,52.064,78.407,17.652,66.857,25.651,14.641,35.036,41.243,27.377,50.154,75.219,66.774,5.581,74.424,32.554,44.142,18.411,32.84,12.32,41.44,16.332,23.26,63.095,45.741,39.715,15.948,57.392,24.103,20.76,64.091,0,39.919,13.262,66.029,71.269,61.215,50.079,26.56,34.482,49.386,40.114,36.072,19.342,46.619,35.788,44.005,30.63,32.049,68.71,50.341,56.935,57.064,45.639,57.922,41.15,28.125, 
Tultitln de Mariano Escobedo,50.649,50.669,29.457,34.653,26.772,30.076,54.105,28.892,13.754,32.157,35.186,77.464,33.557,13.136,33.401,42.091,46.263,56.316,24.247,47.15,33.825,9,19.547,33.184,52.571,11.462,2.055,42.492,31.965,35.583,47.844,35.62,10.226,59.591,56.162,24.871,35.34,38.142,30.437,34.025,8.982,15.309,31.259,53.014,23.363,54.586,27.7,39.196,41.027,40.244,33.11,18.656,36.948,44.721,36.552,31.745,30.863,35.041,25.19,48.552,51.204,28.563,66.668,34.805,35.869,63.52,33.335,27.09,12.084,34.706,31.913,42.907,37.759,34.929,75.418,8.92,36.063,28.632,42.041,40.341,32.105,40.643,38.493,38.953,37.475,25.996,31.773,32.081,49.237,26.575,44.567,27.313,32.441,24.387,32.429,62.47,7.5,22.853,56.122,35.32,41.265,55.077,19.29,37.563,7.926,49.48,25.709,20.435,38.066,52.062,33.756,41.959,42.545,25.672,28.797,29.91,43.026,28.002,52.555,26.989,23.687,11.914,29.579,5.125,32.697,33.141,16.673,3.87,53.009,35.768,32.91,33.985,37.747,39.609,39.919,0,41.68,22.435,38.814,15.985,13.031,57.285,28.86,26.34,6.549,3.933,32.619,4.934,8.477,8.841,33.5,8.492,23.48,23.941,11.705,21.868,18.753,26.07,24.675,28.788, 
San Martn Azcatepec,26.637,36.752,68.294,7.409,46.93,68.913,30.094,45.789,32.753,31.161,34.19,53.453,15.336,13.653,58.333,47.56,22.251,39.029,11.488,24.613,6.581,33.042,45.398,24.699,35.284,45.108,41.538,21.324,70.802,34.587,30.557,74.457,34.524,42.304,32.151,16.487,40.808,15.617,55.369,8.388,33.304,16.133,22.773,29.003,40.26,30.575,66.537,64.128,35.658,79.081,27.097,57.493,6.157,20.71,38.468,56.677,29.868,34.045,64.027,31.265,90.34,20.077,42.657,14.311,11.535,39.509,72.172,18.605,31.083,11.298,11.121,15.959,20.554,73.766,51.407,46.408,74.9,3.243,19.504,15.062,12.076,16.631,30.007,14.941,76.312,17.511,20.135,57.013,25.226,43.472,39.197,18.827,23.956,62.686,12.132,38.459,38.227,61.69,32.11,38.888,28.255,90.991,58.127,36.567,44.479,42.795,17.224,59.272,17,34.775,26.386,33.637,18.727,26.189,67.634,39.899,18.477,66.839,28.543,19.982,7.1,24.281,3.562,32.498,17.386,24.656,55.51,38.156,28.998,10.131,31.914,25.499,12.109,38.613,13.262,41.68,0,57.183,62.423,52.369,41.233,18.041,25.964,40.54,31.268,27.226,23.51,37.773,26.942,35.159,8.129,23.203,59.864,42.959,48.089,49.682,38.257,50.54,33.768,20.743, 
Coyotepec,36.712,33.554,41.967,60.763,2.776,42.586,38.454,6.513,17.197,11.774,18.071,64.154,59.667,21.961,13.871,15.307,44.423,82.426,50.357,73.26,59.935,15.606,5.142,59.294,78.681,7.738,22.293,68.602,27.177,18.468,73.954,30.832,17.004,85.701,46.382,51.797,8.556,28.732,10.39,35.382,15.054,20.636,57.369,39.704,9.117,43.249,40.21,20.918,23.912,52.754,16.782,13.868,63.058,33.384,8.631,11.82,11.163,7.276,37.7,74.662,47.13,54.673,53.358,60.915,61.979,50.21,28.547,53.2,20.909,60.816,58.023,34.039,21.431,36.077,62.108,14.687,40.817,54.742,68.151,66.451,58.215,43.456,64.603,41.767,42.229,52.106,21.245,8.513,37.9,7.874,27.452,53.423,58.551,3.432,24.135,49.16,26.633,1.898,42.185,8.536,24.15,47.781,14.502,8.038,15.563,32.365,51.819,19.159,28.354,78.172,17.428,59.456,26.217,15.144,41.307,6.516,69.136,40.512,35.269,16.461,49.797,24.01,55.689,26.091,58.807,59.252,20.237,26.787,37.726,34.479,9.041,60.095,31.841,19.001,66.029,22.435,57.183,0,20.172,10.534,16.13,29.124,15.684,6.63,30.053,26.145,39.326,18.831,31.974,25.181,40.207,30.704,35.179,38.583,17.9,33.567,32.52,39.837,38.442,35.495, 
