LOCALIDADES,Huitzililla,San Juan Tejupa,Tlayecac,San Lucas Colucan,Matzaco,Metepec,Xochitln,Tecomatln,Oacalco,Santa Teresa,Fraccionamiento Lomas de Cocoyoc,Tlapanal,Tilapa,San Antonio Alpanocan,Atenango del Ro,San Nicols Tolentino,Chinameca,Mayanaln,San Gabriel las Palmas,Huaquechula,Cacaloxchitl,Tzicatln,Tetecalita,Ayutla (San Felipe Ayutla),Taxco el Viejo,Atotonilco,Tetelilla,Unidad Habitacional Rinconada Acolapa,Ixtlilco el Grande,Tochimilco,Atlacahualoya,Huatecalco,Cuentepec,Villa Santiago,Zacualpan de Amilpas,San Andrs Tlalamac,Amilcingo,Tequesquitengo,Jaloxtoc,San Juan Raboso,Moyotepec,Unidad Habitacional Jos Mara Morelos y Pavn,Huazulco,Jumiltepec,Pea Flores (Palo Verde),Ticumn,San Juan Amecac,Acuitlapn,Tlancualpican,La Galarza,Escape de Lagunillas,Atlacholoaya,San Jos Vista Hermosa,Crucero Tezoyuca,Santa Catarina,Telixtac,Tezoyuca,Higuern,Mazatepec,Jantetelco,Calmeca (San Juan Calmeca),Huehuetln el Chico,Tepeojuma,Tilzapotla,Ocuituco,Xochihuehuetln,Tetecala,Tlacotepec,Tulcingo de Valle,Amayuca,Acamixtla,Amacuzac,Calera Chica,Los Arcos,Tehuitzingo,Pedro Amaro,Tlatenchi,Chietla,Temoac,Totolapan,Tlamacazapa,Tepecoacuilco de Trujano,Tehuixtla,Hueyapan (San Andrs Hueyapan),Ciudad Ayala,Copalillo,Oaxtepec,Jolalpan,Ecatzingo de Hidalgo,Chiconcuac,Buenavista de Cullar,Miacatln,Independencia,Atlatlahucan,Tlayacapan,Tenextepango,Jonacatepec,Alpuyeca,Fraccionamiento Lomas de Ahuatln,Coatetelco,Cocoyoc,Tetela del Volcn,Ciudad de Chiautla de Tapia,Tlaltizapn,Unidad Habitacional Jos Mara Morelos y Pavn,San Nicols Galeana,Anenecuilco,Atencingo,Tepalcingo,San Pedro Apatlaco,Juan Morales,La Joya,Tepoztln,Progreso,Santa Rosa Treinta,Yecapixtla,Ciudad de Huitzuco,Axochiapan,Tres de Mayo,Tlaquiltenango,Jojutla,Xochitepec,Xoxocotla,Puente de Ixtla,Zacatepec de Hidalgo,Yautepec de Zaragoza,Izcar de Matamoros,Emiliano Zapata,Taxco de Alarcn,Temixco,Iguala de la Independencia,Cuautla,Jiutepec,Cuernavaca, 
Tzicatln,40.16,71.364,48.089,38.872,39.235,62.742,76.637,118.802,75.119,173.575,76.801,50.366,34.306,62.225,89.231,36.682,43.659,152.343,91.597,63.962,65.879,0,76.516,35.098,149.17,28.575,22.267,91.014,13.323,88.696,12.64,64.802,104.56,96.878,45.872,87.843,38.999,82.466,43.393,45.471,56.248,78.928,42.1,70.582,66.639,68.278,57.069,125.876,14.92,61.892,15.639,78.3,81.926,82.145,91.531,14.628,82.62,79.161,94.901,36.985,42.284,21.294,56.83,98.378,61.701,106.237,99.532,49.785,87.939,38.633,138.366,95.532,99.184,74.308,86.019,77.412,77.223,26.169,44.032,77.876,136.066,145.494,89.56,62.202,60.467,81.687,69.436,25.388,75.22,84.279,123.85,97.616,90.594,72.166,76.123,54.116,32.626,86.044,108.786,90.937,66.771,61.072,35.112,62.107,91.146,75.587,64.06,22.18,22.786,60.664,58.479,89.008,89.507,93.708,69.92,64.731,126.934,7.2,124.066,70.369,73.751,87.087,77.373,88.299,72.185,78.026,40.943,100.928,135.43,124.729,152.006,59.665,99.162,108.308, 
Tetecalita,51.929,140.481,59.63,153.818,147.613,102.348,92.97,219.904,40.478,106.467,76.961,142.209,136.887,112.439,103.379,149.302,34.32,118.507,38.226,144.417,166.942,76.516,0,144.084,90.681,60.278,65.347,20.61,64.594,131.38,70.334,12.986,28.412,34.504,106.879,104.003,103.893,39.315,55.129,145.804,34.699,25.099,103.108,99.428,44.277,24.15,125.532,67.387,81.719,162.188,82.437,11.033,22.773,5.997,38.825,64.305,6.472,27.412,31.222,100.795,121.964,88.093,157.126,47.726,98.56,259.592,35.853,110.793,241.617,98.716,79.877,39.445,12.93,37.521,186.352,25.663,24.45,92.967,105.039,84.435,77.301,102.652,38.908,114.306,39.568,114.746,71.043,94.675,113.557,8.131,65.085,31.309,21.257,80.34,76.179,40.644,64.329,17.732,28.06,27.258,43.365,105.078,101.91,14.54,14.998,21.758,38.698,88.978,54.012,45.15,80.973,21.95,53.28,18.305,10.395,88.174,97.348,70.28,16.691,18.807,22.272,10.939,17.744,31.469,18.356,32.496,141.238,13.398,76.941,15.1,93.241,49.91,18.254,23.684, 
Ayutla (San Felipe Ayutla),63.778,45.929,55.72,5.809,3.857,70.373,84.268,79.995,82.75,233.153,84.432,24.613,9.913,69.856,123.016,1.039,82.405,245.193,164.912,35.413,35.433,35.098,144.084,0,225.091,60.062,51.711,104.128,45.249,58.249,40.276,110.339,161.575,109.992,58.986,100.957,52.113,173.725,67.125,10.894,83.498,124.465,55.214,83.696,79.753,109.037,70.183,201.797,25.265,31.445,23.451,149.825,161.564,146.616,104.645,55.582,145.295,124.698,165.476,50.099,28.325,34.231,26.383,182.136,74.815,120.467,170.107,62.899,102.492,51.747,214.287,173.855,112.298,87.422,47.227,122.949,122.76,9.532,57.146,90.99,211.711,237.062,173.318,75.316,79.041,118.096,82.55,61.797,88.334,147.466,199.495,165.564,103.708,85.28,89.237,77.602,54.362,151.986,121.9,161.512,79.885,74.186,48.049,107.644,148.161,121.124,77.174,13.432,50.797,73.778,71.593,102.122,102.621,106.822,115.457,77.845,231.758,35.21,137.18,115.906,119.288,142.68,157.513,165.879,117.722,91.14,10.496,114.042,211.351,137.843,227.651,72.779,112.276,121.422, 
Taxco el Viejo,124.583,215.23,165.053,228.567,222.362,177.097,167.719,294.653,140.469,38.823,151.71,216.958,211.636,187.188,88.097,224.051,106.974,50.863,58.077,219.166,241.691,149.17,90.681,225.091,0,143.009,185.905,107.883,147.325,206.088,198.834,92.797,94.777,109.212,181.587,178.711,178.601,76.974,168.367,220.512,115.301,81.631,177.816,174.136,131.55,104.752,200.24,30.135,164.45,236.896,165.168,92.749,68.579,88.38,113.533,147.036,87.059,88.835,73.865,175.503,196.672,170.824,231.834,85.385,173.268,334.3,69.009,185.501,316.325,173.424,24.277,57.78,94.262,124.794,261.06,87.086,81.509,219.28,179.747,159.143,37.916,35.383,76.567,189.014,120.17,101.275,145.751,153.21,188.265,88.336,50.969,78.341,108.53,155.048,150.887,121.246,177.278,74.994,102.768,77.551,130.637,179.786,184.641,86.344,89.925,75.901,119.301,221.571,136.743,159.093,155.681,109.222,127.988,105.578,84.677,162.882,51.046,153.011,91.398,87.423,83.695,85.866,77.234,61.611,76.724,119.769,215.946,94.731,14.883,90.979,20.309,153.446,103.764,98.392, 
Atotonilco,11.967,50.202,19.906,63.538,57.333,34.981,48.455,129.624,46.936,157.37,48.618,51.929,46.607,34.464,112.162,59.022,27.454,169.41,75.392,54.137,76.662,28.575,60.278,60.062,143.009,0,10.319,63.305,16.09,53.731,20.267,47.98,120.752,69.169,18.19,60.134,13.737,65.644,15.481,56.103,32.294,62.106,14.418,42.873,38.93,51.456,35.831,109.054,33.214,72.487,33.932,61.478,65.104,65.323,63.822,15.8,65.798,62.339,78.079,10.657,32.263,39.588,67.425,81.556,33.992,169.892,82.71,22.103,151.917,10.442,121.544,78.71,71.475,46.599,96.652,60.59,60.401,44.462,16.349,50.167,119.244,149.761,72.738,34.52,32.888,102.47,41.727,46.17,47.538,67.457,107.028,80.794,62.885,44.457,48.414,26.204,5.703,69.222,81.077,74.115,39.062,33.39,53.405,45.285,107.338,58.765,36.351,40.473,6.792,32.955,30.77,61.299,61.798,65.999,53.098,37.022,131.201,21.775,96.357,53.547,56.929,101.857,60.551,71.477,55.363,50.317,51.537,73.219,118.608,97.02,135.184,31.956,71.453,80.599, 
Tetelilla,21.892,53.188,22.833,55.187,48.982,37.908,51.382,121.273,49.863,200.266,51.545,43.578,38.256,37.391,107.602,50.671,32.523,212.306,80.461,45.786,68.311,22.267,65.347,51.711,185.905,10.319,0,66.23,17.74,55.786,9.949,53.476,123.677,72.094,21.115,63.059,15.898,71.14,29.227,47.957,44.922,67.602,17.343,45.798,41.855,56.952,38.902,163.899,27.101,64.341,22.541,66.974,70.6,70.819,66.747,7.903,107.397,67.835,83.575,12.818,24.117,33.475,59.279,87.052,36.917,161.745,88.206,25.028,143.77,13.367,176.389,84.206,74.4,49.524,88.505,66.086,65.897,34.299,19.274,53.092,173.813,155.257,78.234,37.445,41.143,100.06,44.652,43.76,50.463,109.568,161.597,127.666,65.81,47.382,51.339,39.704,8.627,114.088,84.002,79.611,41.987,36.315,47.293,50.781,110.263,64.261,39.276,30.31,12.288,35.88,33.695,64.224,64.723,68.924,58.594,39.947,136.697,15.211,99.282,59.043,62.425,104.782,66.047,127.981,60.859,53.242,43.391,76.144,173.453,99.945,189.753,34.881,74.378,83.524, 
Unidad Habitacional Rinconada Acolapa,51.74,94.267,44.09,107.604,101.399,56.095,46.717,173.69,20.263,122.244,30.941,95.995,90.673,66.186,119.156,103.088,53.156,134.284,54.004,98.203,120.728,91.014,20.61,104.128,107.883,63.305,66.23,0,78.259,85.59,79.104,39.526,45.489,25.014,61.857,58.214,58.871,57.639,48.637,100.782,32.987,62.296,58.086,53.638,25.114,28.111,80.51,85.711,96.256,117.166,91.696,33.738,45.477,17.398,29.335,77.126,16.962,69.5,49.389,55.773,76.942,102.63,112.104,66.05,52.77,214.57,54.02,65.771,196.595,53.694,98.201,57.769,9.592,18.359,141.33,67.751,62.174,99.55,60.017,40.943,95.625,120.976,57.232,68.516,39.785,133.069,26,108.339,67.768,31.379,83.409,49.477,2.095,36.849,32.687,43.496,57.548,35.899,24.323,45.425,24.202,59.288,116.448,36.831,32.075,48.59,37.918,101.841,68.961,36.182,35.951,2.787,40.571,4.115,42.327,42.384,115.671,84.366,21.094,45.093,64.36,26.593,41.426,49.793,47.601,13.334,96.216,11.336,95.265,21.756,111.565,30.748,9.57,19.947, 
Ixtlilco el Grande,28.271,65.213,34.917,46.399,46.762,49.992,63.466,134.981,61.947,161.686,63.629,57.286,51.964,49.475,96.325,44.209,31.77,173.726,79.708,59.494,82.019,13.323,64.594,45.249,147.325,16.09,17.74,78.259,0,68.742,16.111,52.889,92.647,84.18,33.201,75.145,28.747,70.553,31.48,61.665,44.335,67.015,29.429,57.884,53.941,56.365,50.842,113.963,22.393,78.049,23.111,66.387,70.013,70.232,78.833,12.196,70.707,67.248,82.988,25.667,37.825,28.767,72.987,86.465,49.003,175.453,87.619,37.114,157.478,25.453,126.453,83.619,86.486,61.61,102.213,65.499,65.31,33.641,31.36,65.178,124.153,154.67,77.647,49.531,48.554,88.16,56.738,31.86,62.549,72.366,111.937,85.703,77.896,59.468,63.425,42.203,20.713,74.131,96.088,79.024,54.073,48.401,42.584,50.194,79.233,63.674,50.893,29.652,9.466,47.966,45.781,76.31,76.809,81.01,58.007,52.033,136.11,10.954,80.926,58.456,61.838,75.174,65.46,76.386,60.272,65.328,57.099,88.23,123.517,79.335,140.093,46.967,86.464,95.61, 
Tochimilco,62.115,6.385,54.057,61.651,55.446,29.578,42.754,127.737,70.046,220.449,71.401,28.256,59.304,21.614,217.361,57.209,80.742,232.489,152.208,16.899,21.835,88.696,131.38,58.249,206.088,53.731,55.786,85.59,68.742,0,61.423,102.865,142.632,91.049,36.211,49.877,38.376,154.782,59.651,54.53,76.024,116.991,38.257,37.636,60.771,90.055,16.773,182.854,81.84,40.009,74.423,130.882,142.621,127.673,85.702,59.445,126.352,117.224,146.533,39.51,39.236,90.806,32.371,163.193,36.15,168.318,151.164,31.924,150.343,43.897,195.344,154.912,93.316,68.44,95.078,115.475,115.286,64.932,37.691,60.314,192.768,218.119,154.375,19.853,71.567,151.534,63.606,95.234,41.169,128.523,180.552,146.621,84.726,54.604,68.747,70.128,46.888,133.043,102.957,142.569,60.942,27.021,104.624,100.17,129.218,113.65,69.7,67.223,58.301,66.304,64.119,83.14,83.678,87.84,107.983,43.663,212.815,66.685,118.237,108.432,111.814,123.737,138.57,146.936,110.248,72.158,48.514,95.06,192.408,118.9,208.708,65.305,93.294,102.479, 
Atlacahualoya,43.82,59.037,35.762,41.426,54.831,50.415,64.31,127.122,62.792,213.195,64.474,49.427,44.105,49.898,97.975,39.236,37.51,225.235,85.448,51.635,74.16,12.64,70.334,40.276,198.834,20.267,9.949,79.104,16.111,61.423,0,58.615,136.143,84.56,33.554,75.525,26.681,76.279,41.693,53.806,58.066,72.741,29.782,58.264,54.321,62.091,44.751,176.365,17.474,70.19,14.143,72.113,75.739,75.958,79.213,6.016,119.863,72.974,140.044,24.667,29.966,23.848,65.128,92.191,49.383,167.594,144.675,37.467,149.619,26.315,188.855,89.345,86.866,61.99,94.354,71.225,71.036,28.723,31.714,65.558,186.279,160.396,83.373,49.884,53.609,90.433,57.118,34.133,62.902,122.034,174.063,140.132,78.276,59.848,63.805,52.17,18.576,126.554,96.468,136.08,54.453,48.754,37.666,55.92,122.729,69.4,51.742,24.734,16.599,48.346,46.161,76.69,77.189,81.39,63.733,52.413,141.836,5.584,111.748,64.182,67.564,117.248,71.186,140.447,65.998,65.708,49.24,88.61,185.919,112.411,202.219,47.347,86.844,95.99, 
Huatecalco,40.215,100.479,47.916,113.815,107.61,72.419,63.041,179.901,36.588,107.158,47.266,102.206,96.884,82.51,86.287,109.299,22.606,119.198,28.047,104.414,126.939,64.802,12.986,110.339,92.797,47.98,53.476,39.526,52.889,102.865,58.615,0,41.031,47.123,62.966,74.441,59.98,18.884,43.416,101.891,22.986,15.346,59.195,69.865,41.342,12.437,81.619,62.294,70.006,118.275,70.724,15.161,18.344,18.616,51.444,52.592,19.091,13.817,31.319,57.57,78.051,76.38,113.213,34.248,68.997,215.679,35.95,66.88,197.704,54.803,74.784,31.95,25.549,34.586,142.439,12.068,13.093,81.254,61.126,57.17,72.484,102.453,25.43,79.297,27.855,101.291,42.227,82.962,83.995,20.75,60.268,34.034,39.092,53.076,48.914,28.931,52.616,22.462,40.679,27.355,40.43,75.515,90.197,2.623,27.617,12.005,26.986,77.265,42.299,33.437,39.146,37.506,45.389,30.924,6.339,58.611,83.893,58.567,29.31,6.239,9.621,23.558,13.792,24.717,8.603,29.57,97.325,26.017,71.848,27.719,88.424,46.975,30.873,36.303, 
Cuentepec,109.187,151.714,101.537,165.051,158.846,113.581,104.203,231.137,76.953,110.056,88.194,153.442,148.12,123.672,106.62,160.535,62.364,122.096,38.087,155.65,178.175,104.56,28.412,161.575,94.777,120.752,123.677,45.489,92.647,142.632,136.143,41.031,0,46.735,119.111,116.235,116.125,36.508,105.891,158.036,62.709,36.749,115.34,111.66,69.074,52.16,137.764,72.325,109.729,174.42,110.447,29.02,30.295,24.651,51.056,92.315,23.33,42.976,23.615,113.027,134.196,116.103,169.358,52.521,110.792,271.824,28.291,123.025,253.849,110.948,84.815,41.981,28.691,62.318,198.584,41.227,39.014,156.804,117.271,96.667,82.096,107.447,43.703,126.538,67.578,119.541,83.275,122.685,125.789,24.607,69.88,19.313,46.054,92.572,88.411,68.654,114.802,19.889,40.291,21.317,68.161,117.31,129.92,42.55,14.253,33.408,66.708,159.095,82.022,96.617,93.205,46.746,65.512,43.102,35.63,100.406,102.143,98.29,28.922,39.654,37.836,19.908,26.244,36.249,34.23,57.293,153.47,29.16,81.879,20.208,98.036,90.97,41.288,35.915, 
Villa Santiago,57.604,100.131,49.954,113.468,107.263,61.998,52.62,179.554,25.369,123.573,36.61,101.859,96.537,72.089,120.484,108.952,76.231,135.613,55.332,104.067,126.592,96.878,34.504,109.992,109.212,69.169,72.094,25.014,84.18,91.049,84.56,47.123,46.735,0,67.073,64.196,64.087,58.761,53.853,105.998,53.102,63.418,63.302,59.621,34.231,48.972,85.726,86.833,101.472,122.382,96.912,34.86,46.6,31.652,5.565,82.342,30.331,70.622,50.512,60.989,82.158,107.846,117.32,67.172,58.753,219.786,55.143,70.987,201.811,58.91,99.323,58.891,22.088,30.674,146.546,68.873,63.296,104.766,65.233,44.628,96.747,122.098,58.354,74.499,48.645,134.192,31.237,113.555,73.75,32.501,84.531,50.6,22.956,40.533,36.372,51.893,62.764,37.022,11.87,46.548,32.038,65.271,121.664,49.551,33.197,49.713,46.778,107.057,74.177,44.579,41.167,23.649,13.053,20.004,43.449,48.367,116.794,89.582,22.216,51.733,65.482,27.716,42.549,50.915,48.723,31.423,101.432,23.832,96.387,22.879,112.687,38.932,18.19,11.392, 
Zacualpan de Amilpas,26.573,35.044,18.515,62.462,56.257,17.395,29.146,128.548,45.545,195.948,47.227,50.853,45.531,16.878,192.86,57.946,45.2,207.988,127.707,37.13,75.586,45.872,106.879,58.986,181.587,18.19,21.115,61.857,33.201,36.211,33.554,62.966,119.111,67.073,0,37.637,6.928,130.968,24.369,55.329,40.741,81.709,4.872,25.396,36.996,66.28,19.551,159.04,50.804,71.713,46.244,107.068,118.807,103.859,61.888,31.674,102.538,81.942,122.719,9.806,31.489,57.178,66.651,139.379,23.339,169.118,127.35,4.184,151.143,8.318,171.53,131.098,69.541,44.665,95.878,80.193,80.004,54.098,2.112,48.234,168.954,194.305,130.561,16.601,36.284,119.609,39.793,63.309,29.619,104.709,156.738,122.807,60.951,42.524,46.48,34.845,12.518,109.229,79.143,118.755,37.128,15.471,70.996,64.888,105.404,78.368,34.417,56.389,23.931,31.021,28.837,59.365,59.864,64.065,72.701,24.314,189.001,38.914,94.423,73.15,76.532,99.923,114.756,123.122,74.966,48.383,50.763,71.285,168.594,95.086,184.894,30.022,69.519,78.665, 
San Andrs Tlalamac,48.57,56.223,40.92,104.433,98.228,20.826,11.43,170.519,42.669,193.072,35.885,92.824,87.502,30.917,189.984,99.917,57.603,205.112,124.831,60.911,117.557,87.843,104.003,100.957,178.711,60.134,63.059,58.214,75.145,49.877,75.525,74.441,116.235,64.196,37.637,0,54.199,126.475,43.965,96.11,43.186,87.289,53.414,12.106,32.464,61.748,34.815,154.547,91.584,112.494,87.024,102.575,114.314,99.366,57.395,72.454,98.045,86.308,118.226,51.101,72.27,97.958,107.432,134.886,18.196,209.898,122.857,32.35,191.923,49.022,167.037,126.605,65.009,40.133,136.658,84.559,85.584,94.878,36.927,19.871,164.461,189.812,126.068,29.866,38.729,201.906,35.299,103.668,14.62,100.216,152.245,118.314,56.419,14.161,28.303,41.977,52.877,104.736,74.65,114.262,32.635,20.304,111.776,70.468,100.911,83.948,36.862,97.169,64.29,34.663,31.279,54.833,55.371,59.533,78.281,16.098,184.508,79.694,89.93,78.73,82.112,95.43,110.263,118.629,80.546,43.851,91.544,66.753,164.101,90.593,180.401,29.044,64.987,74.172, 
Amilcingo,23.587,35.99,15.529,55.589,49.384,23.691,44.077,121.675,42.559,192.962,44.241,43.98,38.658,23.174,189.874,51.073,42.214,205.002,124.721,46.188,68.713,38.999,103.893,52.113,178.601,13.737,15.898,58.871,28.747,38.376,26.681,59.98,116.125,64.087,6.928,54.199,0,128.422,21.823,48.395,38.196,79.163,2.169,32.054,34.45,63.734,21.788,156.494,43.869,64.779,39.309,104.522,116.261,101.313,59.342,24.739,99.992,79.396,120.173,3.08,24.555,50.243,59.717,136.833,29.513,162.183,124.804,10.842,144.208,5.331,168.984,128.552,66.995,42.119,88.943,77.647,77.458,47.163,5.088,45.688,166.408,191.759,128.015,23.259,33.739,116.828,37.247,60.528,36.277,102.163,154.192,120.261,58.405,39.978,43.934,32.3,8.144,106.683,76.597,116.209,34.582,22.129,64.061,62.342,102.858,75.822,31.872,49.454,19.447,28.476,26.291,56.819,57.318,61.519,70.155,32.543,186.455,31.979,91.877,70.604,73.986,97.377,112.21,120.576,72.42,45.837,43.829,68.739,166.048,92.54,182.348,27.477,66.973,76.119, 
Tequesquitengo,57.879,163.864,113.687,177.201,170.996,125.731,116.353,243.287,89.103,91.335,100.344,165.592,160.27,135.822,70.464,172.685,40.27,103.375,16.212,167.8,190.325,82.466,39.315,173.725,76.974,65.644,71.14,57.639,70.553,154.782,76.279,18.884,36.508,58.761,130.968,126.475,128.422,0,65.071,168.745,42.512,6.213,126.049,122.369,79.784,31.963,148.473,54.001,91.66,185.129,92.378,40.983,6.93,36.614,61.766,74.246,35.293,16.045,29.394,123.736,144.905,98.034,180.067,16.416,121.501,282.533,34.025,133.734,264.558,121.657,66.491,26.059,42.495,73.028,209.293,14.296,10.316,102.908,127.98,107.376,63.915,84.62,7.597,137.247,47.381,83.458,93.984,104.616,136.498,36.57,51.699,32.109,56.764,103.281,99.12,48.457,74.27,23.798,51.001,25.43,78.871,128.019,111.851,22.149,38.159,7.163,46.512,98.919,63.954,52.963,103.914,57.456,76.221,53.812,15.943,111.115,66.06,80.221,39.632,14.634,10.906,34.1,11.506,18.083,11.374,68.003,164.179,42.964,63.555,39.212,79.855,101.679,51.998,46.625, 
Jaloxtoc,3.679,57.265,4.701,70.601,64.396,37.769,33.843,136.687,32.325,182.728,34.007,58.992,53.67,40.615,131.35,66.085,22.306,194.768,114.487,61.2,83.725,43.393,55.129,67.125,168.367,15.481,29.227,48.637,31.48,59.651,41.693,43.416,105.891,53.853,24.369,43.965,21.823,65.071,0,62.02,17.674,57.542,19.325,35.274,23.888,46.892,41.749,145.932,48.597,78.404,52.935,56.914,60.54,90.751,48.78,31.183,89.43,57.775,109.611,17.012,38.18,54.971,73.342,76.992,28.336,175.809,114.242,27.01,157.834,14.933,158.422,117.99,56.433,31.557,102.569,56.026,55.837,60.789,21.256,35.126,155.846,181.197,68.174,39.427,18.268,117.853,26.685,61.553,45.402,91.601,143.63,109.699,47.843,29.416,33.372,11.584,18.787,96.121,66.035,105.647,24.02,35.515,68.788,40.721,92.296,54.201,20.607,63.08,20.891,19.108,15.729,46.257,46.756,50.957,48.534,21.98,126.637,37.158,81.315,48.983,52.365,86.815,55.987,110.014,50.799,35.275,57.454,58.177,155.486,81.978,171.786,16.915,56.411,65.557, 
San Juan Raboso,65.497,41.328,57.439,13.62,8.429,72.092,85.988,73.387,84.47,234.873,86.152,20.012,16.117,71.575,133.389,10.977,84.124,246.913,166.632,30.812,31.715,45.471,145.804,10.894,220.512,56.103,47.957,100.782,61.665,54.53,53.806,101.891,158.036,105.998,55.329,96.11,48.395,168.745,62.02,0,79.757,120.724,51.473,79.955,76.012,105.296,66.442,198.056,38.645,27.63,31.228,146.084,157.823,142.875,100.904,51.841,141.554,120.957,161.735,46.358,24.584,47.611,22.568,178.395,71.074,113.852,166.366,59.158,95.877,48.006,210.546,170.114,108.557,83.681,40.612,119.208,119.019,21.737,53.405,87.249,207.97,233.321,169.577,71.575,75.3,125.873,78.809,69.574,84.593,143.725,195.754,161.823,99.967,81.539,85.496,73.861,50.621,148.245,118.159,157.771,76.144,70.445,61.429,103.903,144.42,117.383,73.433,24.028,62.034,70.037,67.852,98.381,98.88,103.081,111.716,74.104,228.017,42.987,133.439,112.165,115.547,138.939,153.772,162.138,113.981,87.399,6.681,110.301,207.61,134.102,223.91,69.038,108.535,117.681, 
Moyotepec,20.492,73.638,22.47,86.974,80.769,42.442,33.064,153.06,31.574,129.662,32.388,75.365,70.043,52.533,108.791,82.458,14.052,141.702,49.813,77.573,100.098,56.248,34.699,83.498,115.301,32.294,44.922,32.987,44.335,76.024,58.066,22.986,62.709,53.102,40.741,43.186,38.196,42.512,17.674,79.757,0,37.112,36.354,39.77,19.787,24.334,58.778,84.06,61.586,95.434,62.304,36.484,40.11,40.329,48.027,44.172,40.804,36.131,53.085,34.041,55.21,67.96,90.372,56.562,39.052,192.838,57.716,44.039,174.863,31.962,96.55,53.716,40.837,23.574,119.598,34.382,35.407,77.818,38.285,34.379,94.25,124.767,47.744,56.456,5.014,123.605,25.932,74.542,53.9,42.463,82.034,55.8,32.247,28.669,32.619,6.09,35.816,44.228,65.283,49.121,22.877,45.571,81.777,20.291,49.33,33.771,7.353,80.109,33.879,10.596,16.305,30.661,46.003,35.361,28.104,28.516,106.207,50.147,51.023,28.553,31.935,45.271,35.557,46.483,30.369,22.63,74.484,42.581,93.614,49.432,110.19,16.098,40.815,64.805, 
Unidad Habitacional Jos Mara Morelos y Pavn,54.341,114.605,62.042,127.941,121.736,86.545,77.167,194.027,50.714,95.992,61.392,116.332,111.01,96.636,75.121,123.425,36.732,108.032,22.037,118.54,141.065,78.928,25.099,124.465,81.631,62.106,67.602,62.296,67.015,116.991,72.741,15.346,36.749,63.418,81.709,87.289,79.163,6.213,57.542,120.724,37.112,0,80.758,85.955,57.432,28.527,103.182,59.663,88.224,139.837,88.942,21.431,12.486,31.055,56.207,70.81,29.734,12.609,26.228,75.788,99.613,94.598,134.775,22.078,85.087,237.242,30.859,88.443,219.267,76.366,72.153,26.092,36.936,50.676,164.002,10.86,7.727,99.472,82.689,73.26,69.577,90.283,13.26,100.86,43.945,89.121,58.317,101.18,100.085,31.011,57.361,28.943,51.205,69.166,65.004,45.021,70.834,17.371,45.442,22.264,56.52,91.605,108.415,18.713,32.6,3.727,43.076,95.483,60.518,49.527,55.236,51.897,70.662,48.253,12.507,74.701,71.723,76.785,34.073,11.198,7.47,26.473,11.255,23.745,7.938,45.66,118.887,37.405,69.217,33.653,85.517,63.065,46.439,41.066, 
Huazulco,22.802,35.871,14.744,58.69,52.485,22.877,43.292,124.776,41.774,192.177,43.456,47.081,41.759,22.36,189.089,54.174,41.429,204.217,123.936,37.957,71.814,42.1,103.108,55.214,177.816,14.418,17.343,58.086,29.429,38.257,29.782,59.195,115.34,63.302,4.872,53.414,2.169,126.049,19.325,51.473,36.354,80.758,0,29.939,33.195,62.479,21.667,155.239,45.599,66.509,41.039,103.267,115.006,100.058,58.087,26.469,98.737,78.141,118.918,4.81,26.285,51.973,61.447,135.578,23.973,163.913,123.549,8.727,145.938,4.517,167.729,127.297,65.74,40.864,90.673,76.392,76.203,48.893,2.973,44.433,165.153,190.504,126.76,21.144,32.483,115.808,35.992,59.508,34.162,100.908,152.937,119.006,57.15,38.723,42.679,31.044,8.717,105.428,75.342,114.954,33.327,20.014,65.791,61.087,101.603,74.567,30.616,51.184,20.13,27.22,25.036,55.564,56.063,60.264,68.9,31.287,185.2,33.709,90.622,69.349,72.731,96.122,110.955,119.321,71.165,44.582,45.559,67.484,164.793,91.285,181.093,26.221,65.718,74.864, 
Jumiltepec,38.751,43.982,31.101,87.172,80.967,8.585,6.81,153.258,38.094,188.497,39.449,75.563,70.241,18.676,185.409,82.656,57.378,200.537,120.256,48.67,59.432,70.582,99.428,83.696,174.136,42.873,45.798,53.638,57.884,37.636,58.264,69.865,111.66,59.621,25.396,12.106,32.054,122.369,35.274,79.955,39.77,85.955,29.939,0,29.127,58.411,23.819,151.21,72.472,93.381,67.912,99.238,110.977,96.029,54.058,53.342,94.708,82.971,114.889,31.989,53.157,78.846,88.319,131.549,6.602,190.786,119.52,21.354,172.811,29.91,163.7,123.268,61.672,36.796,117.546,81.222,82.247,75.766,25.931,28.67,161.124,186.475,122.731,18.87,35.392,198.569,31.962,84.555,10.64,96.879,148.908,114.977,53.082,22.96,37.103,38.64,33.764,101.399,71.313,110.925,29.298,9.308,92.664,67.131,97.574,80.611,33.525,78.057,45.177,31.326,27.942,51.496,52.034,56.196,74.944,11.478,181.171,60.582,86.593,75.393,78.775,92.093,106.926,115.292,77.209,40.514,72.431,63.416,160.764,87.256,177.064,25.707,61.65,70.835, 
