LOCALIDADES,Gabriel Leyva Velzquez,Cohuibampo,Leopoldo Snchez Celis (El Gato de Lara),Las Grullas Margen Izquierda,Poblado Nmero Cinco,El Varal (San Sebastin Nmero Uno),Cerrillos (Campo 35),Alhuey,Colonia Agrcola Mxico (Palmitas),El Cubilete (El Cubilete Nmero Uno),El Cerro Cabezn,El Colorado,Juan Aldama (El Tigre),Mochis (Ejido Mochis),Bamoa,Callejones de Guasavito,El Castillo,Nuevo San Miguel,No,Charay,Len Fonseca (Estacin Verdura),Leopoldo Snchez Celis,El Limn de los Ramos,Tamazula,Bachoco,Baborigame,Colonia Independencia (Chinitos),Genaro Estrada,Alfonso G. Caldern (Poblado Siete),Corerepe (El Gallo),Primero de Mayo,Badiraguato,San Pedro,El Burrin,Compuertas,Los ngeles,La Trinidad,Culiacancito,El Estero (Juan Jos Ros),El Centenario,Gustavo Daz Ordaz (El Carrizo),Bagojo Colectivo,Adolfo Lpez Mateos (Jahuara Segundo),Angostura,Todos Santos,Sinaloa de Leyva,Mocorito,Benito Jurez,Adolfo Lpez Mateos (El Tamarindo),Mochicahui,Quil,Guadalupe y Calvo,San Miguel Zapotitln,San Blas,Estacin Naranjo,Pericos,Topolobampo,Constancia,Estacin Bamoa (Campo Wilson),La Reforma,El Diez,San Jos Viejo,Choix,Higuera de Zaragoza,General ngel Flores (La Palma),Las Veredas,Ahome,Las Palmas,El Fuerte,Adolfo Ruiz Cortines,Eldorado,Guachochi,Juan Jos Ros,Licenciado Benito Jurez (Campo Gobierno),Costa Rica,Gabriel Leyva Solano (Benito Jurez),Navolato,Colonia del Sol,Guamchil,Cabo San Lucas,San Jos del Cabo,Guasave,La Paz,Los Mochis,Culiacn Rosales, 
Guachochi,408.115,421.604,543.507,447.017,378.329,464.098,392.347,498.3,540.851,465.797,442.454,456.975,426.522,408.03,438.636,457.519,495.114,411.21,464.369,369.397,434.931,486.634,424.014,474.426,426.904,101.3,432.165,404.887,396.563,438.616,411.578,361.502,457.746,461.552,406.087,454.278,429.622,437.461,416.277,659.073,372.53,418.718,364.496,501.605,728.972,427.151,513.776,488.753,427.026,382.682,501.517,170.172,411.911,359.298,420.715,399.314,424.049,378.813,443.58,549.71,453.524,822.693,268.213,439.278,446.277,818.824,425.398,803.385,317.999,425.689,509.927,0,414.804,469.563,473.219,435.018,472.412,805.76,497.564,802.412,828.448,455.385,651.067,403.336,442.281, 
Juan Jos Ros,33.394,47.3,131.208,72.713,68.258,51.799,22.604,86.001,128.552,53.498,30.155,82.671,156.451,32.399,62.144,45.22,219.931,37.237,52.07,46.366,64.477,221.138,172.026,62.127,14.605,440.131,135.569,75.7,50.621,26.317,17.544,180.781,182.815,49.253,28.066,41.979,46.691,178.873,2.388,278.068,74.863,40.697,87.077,89.306,347.967,82.452,101.477,76.454,164.807,33.064,235.713,383.49,35.116,56.409,55.598,144.953,43.044,36.563,66.216,137.411,195.829,441.688,147.144,64.974,170.395,437.819,51.094,422.38,98.208,13.39,244.123,414.804,0,192.935,208.397,21.752,178.898,424.224,84.298,420.876,446.912,42.119,269.531,21.8,189.961, 
Licenciado Benito Jurez (Campo Gobierno),186.083,238.696,81.288,264.109,259.655,161.316,214.001,112.002,75.579,162.574,208.932,274.067,54.391,223.795,167.877,149.469,29.129,228.633,157.803,237.763,173.994,37.338,51.18,159.781,195.367,368.221,69.023,204.497,242.017,183.056,208.941,108.871,13.346,144.036,219.462,155.857,175.488,24.946,195.375,469.465,266.26,232.093,278.474,115.307,539.364,184.996,137.77,133.772,37.001,224.461,51.913,311.58,226.513,247.806,184.395,75.338,234.441,227.96,167.465,87.717,17.415,633.085,338.541,256.37,38.464,629.216,242.49,613.777,289.605,181.236,60.323,469.563,192.935,0,24.39,173.714,25.147,617.445,121.794,614.097,640.133,154.764,462.752,215.021,28.034, 
Costa Rica,201.545,254.158,96.75,279.571,275.117,176.778,229.463,127.464,91.041,178.036,224.394,289.529,69.853,239.257,183.339,164.931,53.168,244.095,173.265,253.225,189.456,20.805,54.836,175.243,210.829,371.877,84.485,219.959,257.479,198.518,224.403,112.527,38.299,159.498,234.924,171.319,190.95,40.657,210.837,484.927,281.722,247.555,293.936,130.769,554.826,200.458,153.232,149.234,52.463,239.923,39.713,315.236,241.975,263.268,199.857,78.994,249.903,243.422,182.927,103.179,20.873,648.547,354.003,271.832,53.926,644.678,257.952,629.239,305.067,196.698,48.123,473.219,208.397,24.39,0,194.024,52.986,637.755,136.968,634.407,660.443,175.074,483.062,235.331,32.122, 
Gabriel Leyva Solano (Benito Jurez),31.018,67.513,109.829,92.926,88.472,30.42,42.818,64.622,107.173,32.119,37.749,102.884,135.072,52.612,40.765,23.841,198.552,57.45,30.691,66.58,43.098,199.759,150.647,40.748,24.184,418.752,114.19,54.321,70.834,11.873,37.758,159.402,161.436,27.874,48.279,20.6,25.312,157.494,24.192,298.282,95.077,60.91,107.291,67.927,368.181,61.073,80.098,55.075,143.428,53.278,214.334,362.111,55.33,76.623,34.219,123.574,63.258,56.777,44.837,116.032,174.45,461.902,167.358,85.187,149.016,458.033,71.307,442.594,118.422,10.053,222.744,435.018,21.752,173.714,194.024,0,157.78,444.846,63.18,441.498,467.534,21.001,290.153,42.422,168.843, 
Navolato,172.046,224.659,67.251,250.072,245.618,147.279,199.964,97.965,61.542,148.537,194.895,260.03,41.643,209.758,153.84,135.432,29.302,214.596,143.766,223.726,159.957,66.522,35.696,145.744,181.33,371.07,54.986,190.46,227.98,169.019,194.904,111.72,15.509,129.999,205.425,141.82,161.451,23.843,181.338,455.428,252.223,218.056,264.437,101.27,525.327,170.959,123.733,119.735,24.253,210.424,78.399,314.429,212.476,233.769,170.358,78.187,220.404,213.923,153.428,73.68,33.412,619.048,324.504,242.333,12.354,615.179,228.453,599.74,275.568,167.199,86.809,472.412,178.898,25.147,52.986,157.78,0,614.014,118.363,610.666,636.702,151.333,459.321,211.59,32.105, 
Colonia del Sol,455.745,438.256,553.56,451.028,459.214,474.151,419.542,508.353,550.904,475.85,452.507,460.986,578.803,412.395,484.496,467.572,642.283,428.193,474.422,437.322,486.829,643.49,594.378,484.479,436.957,862.483,557.921,498.052,441.577,448.668,409.279,603.133,605.167,471.604,413.149,464.331,469.043,601.225,426.33,169.808,465.82,421.663,478.034,511.658,80.281,504.804,523.829,498.806,587.159,424.02,658.065,805.842,426.072,447.365,477.95,567.305,382.336,427.519,488.568,559.763,618.181,43.684,538.1,444.03,592.747,45.577,429.409,2.372,489.164,435.742,666.475,805.76,424.224,617.445,637.755,444.846,614.014,0,505.741,5.369,39.865,463.562,156.235,402.802,611.404, 
Guamchil,77.446,130.059,57.908,155.472,151.018,52.679,105.364,12.049,55.253,53.937,100.295,165.43,83.151,115.158,59.24,40.832,146.631,119.996,49.166,129.126,65.357,147.839,87.884,51.144,86.73,355.989,62.269,95.86,133.38,74.419,100.304,96.639,109.515,35.399,110.825,47.22,66.851,105.574,86.738,360.828,157.623,123.456,169.837,15.354,430.727,76.359,17.334,10.074,91.507,115.824,162.414,299.348,117.876,139.169,75.758,60.81,125.804,119.323,58.828,64.111,117.394,524.448,229.904,147.733,97.095,520.579,133.853,505.14,180.968,72.599,170.824,497.564,84.298,121.794,136.968,63.18,118.363,505.741,0,503.549,529.585,44.216,352.204,104.473,105.961, 
Cabo San Lucas,452.397,434.908,550.212,447.68,455.866,470.803,416.194,505.005,547.556,472.502,449.159,457.638,575.455,409.047,481.148,464.224,638.935,424.845,471.074,433.974,483.481,640.142,591.03,481.131,433.609,859.135,554.573,494.704,438.229,445.32,405.931,599.785,601.819,468.256,409.801,460.983,465.695,597.877,422.982,166.46,462.472,418.315,474.686,508.31,76.933,501.456,520.481,495.458,583.811,420.672,654.717,802.494,422.724,444.017,474.602,563.957,378.988,424.171,485.22,556.415,614.833,41.494,534.752,440.682,589.399,43.387,426.061,6.221,485.816,432.394,663.127,802.412,420.876,614.097,634.407,441.498,610.666,5.369,503.549,0,37.344,461.703,154.376,400.943,609.545, 
San Jos del Cabo,478.433,460.944,576.248,473.716,481.902,496.839,442.23,531.041,573.592,498.538,475.195,483.674,601.491,435.083,507.184,490.26,664.971,450.881,497.11,460.01,509.517,666.178,617.066,507.167,459.645,885.171,580.609,520.74,464.265,471.356,431.967,625.821,627.855,494.292,435.837,487.019,491.731,623.913,449.018,192.496,488.508,444.351,500.722,534.346,113.977,527.492,546.517,521.494,609.847,446.708,680.753,828.53,448.76,470.053,500.638,589.993,405.024,450.207,511.256,582.451,640.869,7.419,560.788,466.718,615.435,9.312,452.097,41.183,511.852,458.43,689.163,828.448,446.912,640.133,660.443,467.534,636.702,39.865,529.585,37.344,0,487.509,180.182,426.749,635.351, 
Guasave,35.267,87.881,90.879,113.294,108.839,11.463,63.185,45.672,88.223,12.535,58.116,123.252,116.122,72.98,21.815,3.091,179.602,77.818,11.741,86.947,24.141,180.809,131.697,20.808,44.552,399.802,95.24,53.681,91.202,32.241,58.125,140.452,142.486,8.924,68.647,6.004,24.672,138.544,44.559,318.649,115.444,81.278,127.658,48.977,388.548,42.116,61.148,36.125,124.478,73.645,195.384,343.161,75.697,96.99,33.579,104.624,83.625,77.144,25.887,97.082,155.5,482.269,187.725,105.555,130.066,478.4,91.675,462.961,138.789,30.42,203.794,455.385,42.119,154.764,175.074,21.001,151.333,463.562,44.216,461.703,487.509,0,310.109,62.378,149.85, 
La Paz,301.052,283.563,398.867,296.335,304.521,319.458,264.849,353.66,396.211,321.157,297.814,306.293,424.11,257.702,329.803,312.879,487.59,273.5,319.729,282.629,332.136,488.797,439.685,329.786,282.264,707.79,403.228,343.359,286.884,293.975,254.586,448.44,450.474,316.911,258.456,309.638,314.35,446.532,271.637,16.423,311.127,266.97,323.341,356.965,81.221,350.111,369.136,344.113,432.466,269.327,503.372,651.149,271.379,292.672,323.257,412.612,227.643,272.826,333.875,405.07,463.488,174.942,383.407,289.337,438.054,171.073,274.716,155.634,334.471,281.049,511.782,651.067,269.531,462.752,483.062,290.153,459.321,156.235,352.204,154.376,180.182,310.109,0,249.611,458.213, 
Los Mochis,53.321,35.832,151.136,47.609,56.79,71.727,17.119,105.929,148.48,73.426,50.083,57.567,176.379,8.976,82.072,65.148,239.859,25.769,71.998,34.898,84.405,241.066,191.954,82.055,34.533,460.059,155.497,95.628,39.153,46.244,10.069,200.709,202.743,69.18,9.73,61.907,66.619,198.801,23.906,257.889,63.396,18.244,75.61,109.234,327.788,102.38,121.405,96.382,184.735,21.596,255.641,403.418,23.648,44.941,75.526,164.881,22.865,25.095,86.144,157.339,215.757,421.509,135.676,40.611,190.323,417.64,25.99,402.201,86.74,33.318,264.051,403.336,21.8,215.021,235.331,42.422,211.59,402.802,104.473,400.943,426.749,62.378,249.611,0,210.371, 
Culiacn Rosales,183.109,235.722,89.249,261.135,256.681,158.342,211.027,119.963,83.54,159.6,205.958,271.093,48.965,220.821,164.903,146.495,54.131,225.659,154.829,234.789,171.02,45.658,23.897,156.807,192.393,340.939,76.984,201.523,239.043,180.082,205.967,81.589,16.763,141.062,216.488,152.883,172.514,13.926,192.401,466.491,263.286,229.119,275.5,123.268,536.39,182.022,121.117,115.738,29.069,221.487,60.541,284.298,223.539,244.832,181.421,48.055,231.467,224.986,164.491,95.678,12.548,630.111,335.567,253.396,27.928,626.242,239.516,610.803,286.631,178.262,68.951,442.281,189.961,28.034,32.122,168.843,32.105,611.404,105.961,609.545,635.351,149.85,458.213,210.371,0, 
