LOCALIDADES,Chichimequillas,Jaral de Berrios,Rizos de la Joya (Rizos del Saucillo),San Nicols de los Gonzlez,Los Rodrguez,Puentecillas,Valencianita,San Juan Pan de Arriba,Loza de los Padres,Cuchicuato,San Juan de Otates,Comanjilla,El Carrizal Grande,Caada de Bustos,Bajo de Bonillas,Rancho Nuevo de la Cruz,lvaro Obregn (Santa Ana del Conde),La Sauceda (Santa Fe de Guadalupe),Colonias Nuevo Mxico,Fraccionamiento Cristeros,Laguna de Guadalupe,Paso de Cuarenta (San Miguel de Cuarenta),San Jos de Llanos,Coecillo,Aldama,Franco,Lo de Jurez,San Cristbal,San Juan de Abajo,La Calera,Matancillas (San Isidro Matancillas),Plan de Ayala (Santa Rosa),Villas de Irapuato,San Diego de Alejandra,Villa de Arriaga,La Aldea,San Bartolo de Berrios,Duarte,Ocampo,Santa Teresa,San Diego de la Unin,Unin de San Antonio,Arandas,Yerbabuena,Ojuelos de Jalisco,San Julin,Cuermaro,Ciudad Manuel Doblado,Medina,La Ermita,Romita,San Felipe,Marfil,Centro Familiar la Soledad,Pnjamo,Pursima de Bustos,Dolores Hidalgo Cuna de la Independencia Nacional,San Francisco del Rincn,Guanajuato,Silao,Lagos de Moreno,Irapuato,Len de los Aldama, 
Medina,42.213,136.932,20.708,7.5,44.623,57.181,66.182,158.734,19.805,85.026,13.16,24.336,71.419,54.563,41.065,89.987,27.109,66.454,28.01,50.397,113.869,66.739,52.533,32.157,55.427,35.509,65.778,85.293,15.261,58.564,121.577,20.568,77.114,53.209,134.894,41.874,124.42,17.035,76.339,55.316,153.494,79.633,69.774,53.482,112.976,73.947,72.011,69.684,0,18.405,47.009,99.788,52.641,21.66,124.614,34.419,112.863,31.389,58.522,34.561,44.987,73.455,8.309, 
La Ermita,59.569,154.288,4.132,23.806,61.979,74.536,83.538,176.089,37.161,102.382,21.633,48.622,88.774,71.919,58.421,107.343,37.851,83.809,45.366,39.134,134.091,55.477,69.889,49.513,72.782,52.865,83.134,102.649,19.021,75.919,110.315,14.593,94.47,44.872,123.632,59.23,141.776,25.508,79.099,72.672,170.849,59.234,87.13,70.837,101.714,65.61,70.337,62.559,18.405,0,53.624,106.403,59.256,2.862,131.229,29.442,119.478,26.412,65.137,41.176,33.958,80.07,10.337, 
Romita,23.862,117.25,61.552,44.446,23.501,35.875,38.799,137.428,33.889,42.462,41.047,28.012,40.149,33.441,11.459,47.423,16.389,45.148,29.633,93.734,150.337,117.649,31.411,17.313,34.304,13.689,26.443,42.729,42.097,37.497,150.545,51.725,32.128,66.946,185.804,5.952,104.738,38.76,114.92,34.194,132.188,96.408,27.436,32.176,141.944,87.684,44.701,56.659,47.009,53.624,0,80.275,30.786,60.685,89.262,69.924,91.008,66.894,36.667,13.542,93.019,37.411,44.84, 
San Felipe,64.734,38.036,114.331,78.732,75.271,87.828,96.83,97.567,74.731,115.674,76.488,65.4,102.066,85.211,76.84,120.635,85.173,97.101,82.412,115.094,70.772,85.219,83.181,70.156,86.074,69.466,96.426,115.941,94.876,89.211,70.98,104.504,107.762,135.372,88.027,74.862,25.525,69.898,35.356,85.964,92.327,149.187,100.421,84.129,62.379,156.11,124.976,136.934,99.788,106.403,80.275,0,83.167,112.946,155.141,122.185,52.153,119.155,65.023,66.324,106.153,103.982,97.101, 
Marfil,29.558,120.551,67.184,50.078,14.035,7.296,37.957,108.547,39.521,56.801,46.679,33.708,43.194,15.512,29.693,61.762,38.025,16.569,35.264,99.366,153.638,123.281,24.308,23.009,27.202,22.319,37.553,57.068,47.729,30.339,153.846,57.357,48.889,88.225,191.436,25.373,108.039,44.392,118.221,8.145,103.307,102.04,41.549,3.597,145.245,108.963,75.487,87.445,52.641,59.256,30.786,83.167,0,64.499,103.091,73.738,62.651,70.708,8.31,17.041,96.833,51.932,48.654, 
Centro Familiar la Soledad,55.611,150.33,2.138,27.061,58.021,70.578,79.58,172.131,33.203,98.424,24.888,44.664,84.816,67.961,54.463,103.385,40.507,79.851,41.408,42.389,137.346,58.732,65.931,45.555,68.824,48.907,79.176,98.691,19.618,71.961,113.57,15.19,90.512,40.822,126.887,55.272,137.818,28.763,82.354,68.714,166.891,37.643,83.172,66.879,104.969,61.56,70.934,58.509,21.66,2.862,60.685,112.946,64.499,0,137.071,23.529,125.32,20.499,70.979,47.018,37.183,85.912,10.63, 
Pnjamo,101.531,192.525,139.157,122.051,85.657,92.792,71.292,228.241,111.495,51.263,118.653,105.681,67.018,82.194,101.666,56.224,109.999,118.443,107.238,171.339,225.612,195.254,75.96,94.982,69.675,94.292,63.74,51.53,119.702,68.159,225.82,90.529,56.786,112.194,263.409,87.331,180.013,116.365,190.195,88.312,223.001,174.013,58.031,96.28,217.219,133.092,34.997,77.902,124.614,131.229,89.262,155.141,103.091,137.071,0,97.61,164.584,94,109.185,100.016,179.625,55.613,131.446, 
Pursima de Bustos,64.85,159.569,25.615,37.201,67.26,79.817,88.819,181.37,42.442,107.663,39.387,53.903,94.055,77.2,63.702,74.517,49.746,89.09,50.647,58.724,161.253,82.639,75.17,54.794,78.063,58.146,88.415,107.93,31.712,81.2,137.477,21.115,99.751,16.287,150.794,64.511,147.057,47.358,100.994,77.953,176.13,27.158,92.411,76.118,128.875,37.025,62.301,42.761,34.419,29.442,69.924,122.185,73.738,23.529,97.61,0,133.047,4.777,78.706,54.745,58.115,93.639,27.774, 
Dolores Hidalgo Cuna de la Independencia Nacional,89.78,85.228,127.406,110.3,74.257,67.518,96.873,45.336,99.743,115.717,106.901,93.93,102.11,74.428,89.915,120.678,98.247,63.582,95.486,159.588,122.624,137.071,83.224,83.231,86.118,82.541,96.469,115.984,107.951,89.255,122.832,117.579,107.805,148.447,139.879,85.595,72.716,104.614,87.207,67.061,40.096,162.262,100.465,63.819,114.231,169.185,135.709,147.667,112.863,119.478,91.008,52.153,62.651,125.32,164.584,133.047,0,131.361,56.036,77.694,157.486,103.188,109.307, 
San Francisco del Rincn,61.82,156.539,22.585,34.171,64.23,76.787,85.789,178.34,39.412,104.633,36.357,50.873,91.025,74.17,60.672,70.907,46.716,86.06,47.617,55.694,158.223,79.609,72.14,51.764,75.033,55.116,85.385,104.9,28.682,78.17,134.447,18.085,96.721,20.178,147.764,61.481,144.027,44.328,97.964,74.923,173.1,31.349,89.381,73.088,125.845,40.916,58.691,37.805,31.389,26.412,66.894,119.155,70.708,20.499,94,4.777,131.361,0,75.848,51.887,55.257,90.781,24.916, 
Guanajuato,35.439,119.82,73.065,55.959,19.916,13.177,41.474,103.015,45.402,60.318,52.56,39.589,46.711,19.029,35.574,65.279,43.906,22.45,41.145,105.247,135.494,129.162,27.825,28.89,30.719,28.2,41.07,60.585,53.61,33.856,135.702,63.238,52.406,94.106,152.749,31.254,107.308,50.273,100.077,11.662,97.775,107.921,45.066,9.478,127.101,114.844,81.368,93.326,58.522,65.137,36.667,65.023,8.31,70.979,109.185,78.706,56.036,75.848,0,23.35,103.142,48.845,54.963, 
Silao,11.414,103.708,49.104,31.998,10.746,23.12,32.305,124.673,21.441,51.149,28.599,15.564,37.542,20.686,8.236,56.11,19.946,32.393,17.185,81.286,136.795,105.201,18.656,4.865,21.549,2.893,31.901,51.416,29.649,24.686,137.003,39.277,43.237,70.145,173.356,8.129,91.196,26.312,101.378,21.439,119.433,83.96,35.897,19.421,128.402,90.883,58.243,70.201,34.561,41.176,13.542,66.324,17.041,47.018,100.016,54.745,77.694,51.887,23.35,0,80.794,39.445,32.615, 
Lagos de Moreno,87.945,142.937,38.716,50.388,90.355,102.912,111.914,204.465,65.537,130.758,71.084,76.998,117.15,100.295,86.797,135.719,72.841,112.185,73.742,9.028,104.276,25.662,98.265,77.889,101.158,81.241,111.51,131.025,54.807,104.295,80.5,51.868,122.846,44.154,93.817,87.606,130.426,70.453,72.405,101.048,199.225,29.871,115.506,99.213,71.898,61.674,103.971,78.474,44.987,33.958,93.019,106.153,96.833,37.183,179.625,58.115,157.486,55.257,103.142,80.794,0,119.591,41.282, 
Irapuato,50.372,141.366,87.998,70.892,34.498,41.633,13.095,177.145,60.336,15.023,67.494,54.522,8.821,31.035,50.507,21.878,58.84,67.284,56.079,120.18,174.453,144.095,24.801,43.823,18.516,43.133,12.581,17.184,68.543,17,174.661,78.171,9.877,109.039,212.25,33.84,128.854,65.206,139.036,37.153,171.905,122.854,9.993,45.121,166.06,129.777,46.56,88.305,73.455,80.07,37.411,103.982,51.932,85.912,55.613,93.639,103.188,90.781,48.845,39.445,119.591,0,71.078, 
Len de los Aldama,39.766,134.485,12.163,12.038,42.176,54.733,63.735,156.286,17.358,82.579,14.224,28.819,68.971,52.116,38.618,87.54,24.662,64.006,25.563,54.862,113.59,63.029,50.086,29.71,52.979,33.062,63.331,82.846,12.813,56.116,117.867,9.871,74.667,43.174,131.184,39.427,121.973,18.099,76.06,52.869,151.046,57.536,67.327,51.034,109.266,63.912,62.08,58.987,8.309,10.337,44.84,97.101,48.654,10.63,131.446,27.774,109.307,24.916,54.963,32.615,41.282,71.078,0, 
