LOCALIDADES,El Salvador,San Lucas Evangelista,Santa Cruz del Astillero,La Manzanilla de la Paz,La Cofrada de la Luz,Santiago Totolimixpan (Colonia la Guadalupana),Estipac,Paseo Puente Viejo,El Plan (El Cerrito),El Cabezn (El Limn),El Salitre,Buenavista,Santa Fe,Lomas de Tejeda,Villa Emiliano Zapata (Ejido Modelo),Amacueca,Juanacatln,La Laja,Chantepec (El Chante),El Crucero de Santa Mara,Zapotln del Rey,San Marcos,Zapotitn de Hidalgo,La Capilla del Refugio,San Luis Soyatln,Jardines de San Sebastin,San Isidro Mazatepec,Cuisillos,San Francisco de la Soledad (San Francisco),San Esteban (San Miguel Tateposco),Hostotipaquillo,Teuchitln,La Unin del Cuatro (San Jos del Valle),Teocuitatln de Corona,Chiquilistln,Nextipac,Fraccionamiento Campestre las Palomas,Hacienda los Fresnos,Fraccionamiento la Alameda,Cuquo,Paseo del Prado,Tenamaxtln,Concepcin de Buenos Aires,Palomar,La Punta,San Antonio Tlayacapan,Mezcala,Atoyac,San Pedro Itzicn,Cajititln,San Juanito de Escobedo,Atemajac de Brizuela,La Venta del Astillero,Puente Grande,Galaxia la Noria,Colinas del Roble,Ixtlahuacn de los Membrillos,Ixtlahuacn del Ro,El Refugio,Zapote del Valle (Zapote de Santa Cruz),Atequiza,San Juan Cosal,Bellavista,Atotonilquillo,Los Ruiseores,San Miguel Cuyutln,Villa Corona,Los Olivos,San Martn Hidalgo,Fraccionamiento Rancho Alegre,El Capuln,La Alameda,Galaxia Bonito Jalisco,Juanacatln,Tecolotln,Valle Dorado Inn,Acatln de Jurez,Ajijic,Amatitn,Fraccionamiento Villas de la Hacienda,Santa Cruz de las Flores,El Arenal,Lomas de San Agustn,Acatic,La Tijera,Centro de Readaptacin Social,Etzatln,Poncitln,Fraccionamiento Real del Valle (El Paraso),Cocula,Tizapn el Alto,Ahualulco de Mercado,San Jos del Castillo,Magdalena,San Jos el Verde (El Verde),El Quince (San Jos el Quince),Zacoalco de Torres,Jocotepec,Lomas del Sur,Santa Anita,Chapala,El Salto,Las Pintas,Las Pintitas,Santa Cruz del Valle,San Sebastin el Grande,Tequila,Coyula,Tlajomulco de Ziga,San Agustn,Zapotlanejo,Tala,Ameca,Tesistn (San Francisco Tesistn),Hacienda Santa Fe,Tepatitln de Morelos,Tonal,Tlaquepaque,Zapopan,Guadalajara, 
La Capilla del Refugio,119.47,27.069,65.974,112.384,72.909,38.449,74.705,26.935,53.861,109.9,92.039,44.22,36.591,27.722,106.744,104.893,113.304,31.031,44.434,84.335,46.798,144.983,59.856,0,71.606,42.783,56.046,88.631,21.776,60.24,129.884,93.094,27.411,103.548,142.55,59.738,62.888,31.038,9.275,116.5,36.675,140.361,113.645,43.652,23.806,28.757,39.469,103.429,46.447,17.359,117.437,104.659,56.815,21.639,30.563,32.585,19.034,90.212,81.074,18.886,19.901,40.026,63.963,22.147,73.801,26.898,66.078,5.109,99.478,13.109,15.92,9.056,13.121,16.883,126.23,26.403,58.309,32.564,82.7,30.275,43.527,75.101,47.896,68.338,44.064,20.049,120.104,41.856,28.036,85.86,101.133,105.174,10.281,107.028,18.277,16.889,80.62,50.036,39.976,41.309,25.874,14.962,29.68,20.961,29.571,42.57,95.292,34.409,35.123,47.937,38.113,79.618,117.043,60.04,28.134,82.087,33.331,28.001,41.171,35.815, 
San Luis Soyatln,151.895,68.255,98.399,41.748,66.702,100.313,68.498,102.521,47.654,96.347,85.832,47.237,119.689,63.779,36.108,58.331,107.097,114.341,26.833,78.128,108.662,141.009,28.563,71.606,0,64.389,66.488,88.014,95.032,96.982,162.269,104.961,70.583,43.17,131.68,92.122,98.756,65.987,76.442,153.241,69.031,129.491,42.039,66.971,93.233,44.103,69.067,92.559,76.044,73.212,129.304,93.789,89.2,97.876,59.778,66.068,57.224,126.954,92.941,78.913,73.114,31.761,53.093,75.359,106.185,62.592,55.208,65.8,88.608,73.136,75.948,74.802,80.308,84.07,115.36,72.445,47.439,39.563,115.085,68.189,51.477,107.485,59.457,135.628,64.634,95.788,131.971,95.069,79.074,74.99,29.527,109.601,77.04,139.413,86.076,87.864,69.75,21.674,60.676,61.514,48.571,82.149,84.097,84.398,80.496,63.549,127.676,96.666,56.321,58.227,109.74,88.65,108.968,95.907,72.346,149.377,92.227,79.042,77.823,79.443, 
Jardines de San Sebastin,100.434,19.665,46.938,106.137,50.338,75.487,52.134,40.421,31.29,79.983,69.468,21.649,57.589,9.318,100.497,82.322,90.733,52.029,50.348,61.764,74.519,125.946,39.897,42.783,64.389,0,27.129,48.655,43.31,40.286,110.091,65.602,7.843,76.293,115.295,39.944,46.578,3.879,24.395,96.546,7.533,113.106,107.063,14.793,41.511,48.634,59.346,76.174,66.324,22.35,89.945,77.404,37.022,46.154,10.998,3.961,38.911,70.258,53.582,16.136,39.778,57.441,36.708,42.024,54.007,16.22,38.823,30.652,72.223,27.41,21.897,22.755,28.261,32.023,98.975,9.705,31.054,52.441,62.907,6.081,14.61,55.307,9.928,75.21,10.666,44.066,92.612,61.733,11.257,58.605,94.551,77.682,30.156,87.235,23.408,25.196,53.365,47.354,3.654,4.728,45.751,30.102,21.429,21.73,13.58,2.048,75.498,36.247,8.775,7.961,49.322,49.291,82.513,43.729,9.606,88.959,31.808,16.374,23.967,21.671, 
San Isidro Mazatepec,91.517,32.022,43.186,108.236,32.09,83.982,33.886,65.362,18.896,50.489,46.84,14.732,82.53,25.884,102.596,75.674,84.085,77.182,52.447,43.516,96.664,80.636,41.996,56.046,66.488,27.129,0,22.602,69.611,60.614,104.59,39.549,33.507,72.934,96.672,51.114,62.389,28.911,59.862,116.873,32.565,94.484,103.704,30.603,67.812,66.424,76.875,72.815,83.853,39.193,63.892,66.013,47.087,72.455,23.824,28.992,56.44,90.586,27.529,41.8,57.307,54.082,13.118,59.553,39.297,28.573,20.2,52.172,53.6,52.938,57.364,58.222,63.728,67.49,80.352,35.369,19.629,61.884,53.497,31.113,14.171,42.663,23.089,99.26,28.266,70.367,66.559,79.262,42.707,39.982,91.192,51.629,56.457,81.734,49.709,51.497,44.055,43.995,23.6,25.146,63.28,65.569,47.73,48.031,44.129,27.181,66.088,60.298,22.303,21.859,73.372,23.238,56.46,57.849,35.27,113.009,55.859,42.675,41.455,43.076, 
Cuisillos,78.248,53.548,29.917,129.762,34.95,121.366,47.86,75.767,40.422,28.254,24.605,36.259,92.502,47.41,124.122,97.2,105.611,92.545,73.973,46.375,112.027,64.152,63.522,88.631,88.014,48.655,22.602,0,79.74,63.118,91.616,23.651,67.58,94.461,99.487,38.14,51.317,50.437,80.626,126.336,62.508,97.298,125.231,52.129,77.941,87.951,115.576,94.342,122.554,60.719,47.994,87.539,34.113,82.584,45.35,50.518,95.142,100.048,11.631,76.773,96.008,75.609,34.644,98.254,26.323,50.099,41.726,86.882,34.634,83.641,78.128,78.986,84.492,85.948,83.167,56.895,41.155,83.411,40.523,52.639,35.697,29.689,44.615,113.468,49.792,80.496,50.661,117.963,65.507,42.797,112.719,35.731,77.22,68.76,70.472,72.26,65.581,65.522,45.126,46.672,101.981,84.408,68.494,68.794,66.929,48.707,53.114,74.506,43.829,43.385,87.58,11.584,34.438,44.875,56.796,127.217,70.067,62.105,51.863,58.808, 
San Francisco de la Soledad (San Francisco),111.558,47.902,58.062,136.78,91.927,60.243,93.723,5.72,72.879,101.988,98.339,63.238,13.239,49.616,131.14,123.911,132.322,7.679,68.83,103.353,50.904,137.071,81.486,21.776,95.032,43.31,69.611,79.74,0,45.62,121.494,84.704,38.961,118.264,157.266,51.348,49.535,42.588,15.256,101.88,38.787,155.077,149.034,45.764,4.474,46.369,46.083,118.145,53.061,29.356,109.047,119.375,48.425,3.679,42.56,44.135,36.646,75.592,72.684,28.832,37.513,57.638,78.679,28.097,65.411,39.649,80.794,28.387,114.194,25.145,19.632,15.037,10.701,8.4,140.946,36.349,73.025,50.176,74.31,41.825,56.729,66.711,44.457,46.796,38.435,2.947,111.714,48.427,36.888,100.576,136.522,96.784,14.611,98.638,19.981,18.593,95.336,67.648,46.291,43.421,43.486,6.86,31.792,23.073,31.683,44.682,86.902,19.79,47.12,50.049,16.571,71.228,108.653,49.832,38.08,60.545,14.482,30.113,32.781,24.171, 
San Esteban (San Miguel Tateposco),94.936,63.224,41.44,138.73,82.931,84.536,84.727,41.146,63.883,85.366,81.717,54.242,58.314,47.095,133.09,114.915,123.326,52.754,82.941,94.357,75.197,120.449,72.49,60.24,96.982,40.286,60.614,63.118,45.62,0,102.964,66.174,42.349,106.115,145.117,25.086,12.067,42.078,55.024,65.286,37.277,142.928,136.885,33.614,45.661,71.559,82.271,105.996,89.249,54.546,90.517,107.226,29.895,50.304,53.889,45.087,61.836,38.998,54.154,43.467,62.703,82.828,66.53,64.949,46.881,58.638,68.645,53.576,90.318,50.335,44.822,45.68,58.126,53.668,128.797,44.085,60.876,75.366,55.78,41.969,44.579,48.18,40.559,79.971,34.027,48.216,93.184,84.658,40.276,88.427,124.373,78.254,52.628,80.108,52.251,38.954,83.187,77.176,44.781,37.741,68.675,52.128,35.188,35.488,35.302,41.048,68.372,30.18,52.368,37.899,54.083,52.698,90.123,17.611,46.408,93.72,33.086,31.984,22.39,20.974, 
Hostotipaquillo,91.461,128.512,67.368,204.017,120.56,162.619,133.47,117.02,129.17,113.864,110.216,119.529,133.755,122.374,198.377,180.202,188.613,133.798,148.228,131.985,153.28,57.71,137.777,129.884,162.269,110.091,104.59,91.616,121.494,102.964,0,83.447,130.907,194.673,214.28,101.467,114.644,130.636,143.954,189.664,125.835,212.091,225.443,122.172,141.269,168.193,178.904,194.554,185.882,151.18,58.325,195.784,97.441,145.912,142.447,133.645,158.47,163.376,113.262,140.101,159.336,175.821,155.088,161.582,105.989,147.196,157.203,150.21,149.426,146.969,141.456,142.314,147.82,149.276,197.96,132.643,149.434,172,67.242,130.527,133.137,77.027,129.117,176.796,122.585,143.824,57.471,181.291,128.834,157.59,212.931,70.369,140.548,39.466,133.8,135.588,171.745,165.734,133.339,126.299,165.309,147.736,131.822,132.122,130.256,129.606,54.944,137.834,140.926,126.457,150.908,111.806,149.231,108.202,134.966,190.545,133.395,125.433,115.19,122.136, 
Teuchitln,82.712,70.495,34.381,146.709,52.595,125.829,65.505,80.23,57.369,45.899,42.25,53.206,96.965,64.357,141.069,114.147,122.558,97.008,90.92,64.02,116.49,42.18,80.469,93.094,104.961,65.602,39.549,23.651,84.704,66.174,83.447,0,72.691,111.743,117.078,43.251,56.428,72.42,85.737,131.447,67.619,114.889,142.513,63.956,83.052,109.976,120.687,111.624,127.665,78.001,25.897,104.821,39.224,87.695,62.632,75.429,100.253,105.159,13.894,81.884,101.119,92.891,51.926,103.365,31.434,67.381,64.046,91.993,52.225,88.752,83.239,84.097,89.603,91.059,100.758,74.427,58.437,113.783,45.634,72.311,52.979,34.8,61.897,118.579,64.369,85.607,28.564,123.074,70.618,60.388,130.001,13.634,82.331,54.266,75.583,77.371,82.863,82.804,62.408,68.083,107.092,89.519,73.605,73.905,72.04,71.39,58.225,79.617,61.111,60.667,92.691,19.027,52.03,49.986,76.75,132.328,75.178,67.216,56.974,63.919, 
La Unin del Cuatro (San Jos del Valle),99.398,21.196,45.902,112.331,56.532,60.115,58.328,34.487,37.484,89.828,75.662,27.843,51.655,10.696,106.691,88.516,96.927,46.095,56.542,67.958,68.585,124.91,46.091,27.411,70.583,7.843,33.507,67.58,38.961,42.349,130.907,72.691,0,81.882,120.884,40.991,47.625,4.136,17.062,98.876,6.19,118.695,112.652,22.283,36.071,41.301,52.013,81.763,58.991,16.049,98.69,82.993,38.069,40.714,13.377,5.683,31.578,72.588,62.327,8.803,32.445,52.57,42.297,34.691,55.054,19.749,44.412,23.319,77.812,20.077,14.564,15.422,20.928,24.69,104.564,2.372,36.643,45.108,63.954,3.373,20.199,56.354,15.494,69.77,14.928,38.626,101.357,54.4,3.924,64.194,100.14,86.427,17.66,88.282,17.968,19.756,58.954,52.943,9.243,10.294,38.418,22.769,8.899,16.29,6.247,9.614,76.545,30.807,14.204,13.527,43.882,60.871,98.296,44.776,4.569,83.519,26.368,10.934,28.721,23.365, 
Teocuitatln de Corona,163.164,79.524,109.668,40.273,77.371,131.484,58.182,113.79,55.759,107.016,96.501,58.506,130.958,75.048,52.36,35.324,70.198,125.61,42.399,88.797,145.092,152.278,44.13,103.548,43.17,76.293,72.934,94.461,118.264,106.115,194.673,111.743,81.882,0,88.506,102.307,108.941,76.172,106.414,163.426,79.216,138.689,26.113,77.156,114.364,63.707,88.671,30.702,95.648,83.397,139.489,72.282,99.385,119.007,69.963,76.253,100.644,137.139,103.126,93.216,101.511,51.365,62.29,103.757,116.37,72.777,64.405,96.376,97.805,97.142,103.916,104.774,110.28,114.042,124.557,82.63,55.399,59.167,125.27,78.374,61.662,117.67,69.642,145.813,74.819,116.919,142.156,123.466,89.259,84.187,45.78,118.798,103.009,149.598,96.261,98.049,32.014,41.278,70.861,71.699,68.175,112.121,94.282,94.583,90.681,73.734,137.861,106.851,66.506,68.412,119.925,98.835,118.165,106.092,82.531,159.562,102.412,89.227,88.008,89.628, 
Chiquilistln,171.709,118.526,123.378,173.428,66.071,170.486,78.983,152.792,85.367,70.678,68.29,97.508,169.96,114.05,167.788,54.543,39.839,164.612,117.639,53.369,184.094,136.886,107.188,142.55,131.68,115.295,96.672,99.487,157.266,145.117,214.28,117.078,120.884,88.506,0,131.652,149.276,116.507,146.749,203.761,119.551,51.426,113.95,117.491,154.699,136.032,160.996,65.837,167.973,123.732,122.566,31.418,127.625,159.342,110.298,116.588,140.979,177.474,105.144,133.551,141.846,123.69,84.545,144.092,119.836,113.112,77.589,136.711,62.549,137.477,144.251,145.109,150.615,154.377,37.295,122.965,86.083,131.492,134.036,118.709,101.997,123.202,109.977,186.148,115.154,157.254,125.233,163.801,129.594,59.166,160.8,113.081,143.344,162.273,136.596,138.384,82.408,113.603,111.196,112.034,140.5,152.456,134.617,134.918,131.016,114.069,146.627,147.186,106.841,108.747,160.26,107.428,82.909,138.387,122.866,199.897,142.747,129.562,128.343,129.963, 
Nextipac,69.958,58.365,16.462,133.87,67.083,92.473,79.867,46.874,59.023,60.388,56.739,49.382,63.609,52.227,128.23,110.055,118.466,63.652,78.081,78.508,83.134,95.47,67.63,59.738,92.122,39.944,51.114,38.14,51.348,25.086,101.467,43.251,40.991,102.307,131.652,0,14.047,38.531,51.848,97.558,33.73,129.465,133.338,30.067,49.163,76.087,86.798,102.449,93.776,59.074,66.999,103.679,6.378,53.806,50.342,41.54,66.364,71.27,30.636,47.995,67.23,83.716,62.983,69.476,23.363,55.091,65.098,58.104,66.8,54.863,49.35,50.208,55.714,57.17,115.334,40.538,57.329,79.894,32.263,38.422,41.032,24.663,37.012,84.69,30.48,51.718,69.666,89.185,36.729,74.964,120.826,54.736,48.442,56.591,41.694,43.482,79.64,73.629,41.234,34.194,73.203,55.63,39.716,40.016,38.151,37.501,44.854,45.728,48.821,34.352,58.802,29.18,66.605,7.605,42.861,98.439,41.289,33.327,23.085,30.03, 
Fraccionamiento Campestre las Palomas,83.135,64.999,29.639,140.504,84.705,88.451,86.501,45.061,65.657,73.565,69.916,56.016,62.229,58.861,134.864,116.689,125.1,56.669,84.715,96.131,79.112,108.647,74.264,62.888,98.756,46.578,62.389,51.317,49.535,12.067,114.644,56.428,47.625,108.941,149.276,14.047,0,45.102,54.98,75.878,40.301,145.952,139.909,36.638,52.995,79.219,89.93,109.02,96.908,62.206,80.201,110.25,19.58,57.638,56.913,48.111,69.496,49.59,43.838,51.127,70.362,90.287,69.554,72.608,36.565,61.662,71.669,61.236,80.002,57.995,52.482,53.34,58.846,61.002,131.821,47.109,63.9,83.026,45.465,44.993,47.603,37.865,43.583,87.822,37.051,55.55,82.868,92.317,43.3,91.451,127.397,67.938,59.962,69.793,44.826,46.614,86.211,80.2,47.805,40.765,76.335,59.462,42.848,43.148,44.722,44.072,58.056,37.514,55.392,40.923,61.934,42.382,79.807,6.598,49.432,101.571,40.42,36.459,22.95,25.85, 
Hacienda los Fresnos,99.127,18.167,45.631,107.735,51.936,63.742,53.732,38.114,32.888,81.581,71.066,23.247,55.282,8.004,102.095,83.92,92.331,49.722,51.946,63.362,72.212,124.639,41.495,31.038,65.987,3.879,28.911,50.437,42.588,42.078,130.636,72.42,4.136,76.172,116.507,38.531,45.102,0,20.767,95.692,6.907,116.491,110.448,18.652,39.776,45.006,55.718,79.559,62.696,19.754,98.413,80.789,37.792,44.419,11.173,3.479,35.283,69.404,62.05,12.508,36.15,60.826,40.093,38.396,54.777,15.222,42.208,27.024,75.608,23.782,18.269,19.127,24.633,28.395,102.36,6.077,34.439,48.813,63.677,3.177,17.995,56.077,13.787,73.475,12.689,42.331,101.08,58.105,7.629,61.99,97.936,86.15,21.365,88.005,21.673,23.461,56.75,50.739,7.039,8.587,42.123,26.474,12.604,19.995,9.952,6.678,76.268,34.512,12,11.82,47.587,52.676,85.898,44.499,5.978,87.224,30.073,14.639,23.739,20.571, 
Fraccionamiento la Alameda,112.444,29.311,58.948,118.19,82.178,49.118,83.974,18.28,63.13,102.874,99.225,53.489,30.023,31.025,112.55,114.162,122.573,24.463,50.24,93.604,57.467,137.957,71.737,9.275,76.442,24.395,59.862,80.626,15.256,55.024,143.954,85.737,17.062,106.414,146.749,51.848,54.98,20.767,0,107.858,29.019,145.309,118.713,35.996,15.164,33.825,44.537,108.377,51.515,16.812,109.78,109.607,49.158,19.807,30.016,22.261,24.102,81.57,73.417,8.679,24.969,45.094,68.911,27.215,66.144,27.105,71.026,15.843,104.426,12.601,7.088,1.736,6.614,10.377,131.178,16.079,63.257,37.632,75.043,19.951,46.961,67.444,40.24,59.696,36.408,13.543,112.447,46.924,17.712,90.808,106.201,97.517,2.368,99.371,9.635,8.247,85.568,55.104,25.821,33.653,30.942,8.456,22.024,13.305,21.915,34.914,87.635,25.767,34.576,40.281,29.471,71.961,109.386,55.81,17.81,73.445,24.689,20.345,33.514,28.159, 
Cuquo,158.154,119.483,104.658,194.989,139.19,140.796,140.986,97.406,120.142,148.584,144.935,110.501,114.574,103.355,189.349,171.174,179.585,109.014,139.2,150.616,131.457,183.667,128.749,116.5,153.241,96.546,116.873,126.336,101.88,65.286,189.664,131.447,98.876,163.426,203.761,97.558,75.878,95.692,107.858,0,98.28,201.831,195.788,92.518,103.278,129.175,139.887,164.899,146.865,112.162,151.52,166.129,90.898,107.921,112.793,106.09,119.452,26.698,115.157,101.083,120.319,140.444,125.433,122.565,107.884,117.542,127.548,111.192,151.321,107.951,102.438,103.296,115.743,111.285,187.7,105.088,119.779,132.982,116.783,102.972,103.483,109.183,99.463,74.522,92.93,105.833,154.187,141.544,101.279,147.33,183.276,139.257,110.245,141.111,109.868,96.57,142.09,136.079,105.784,96.644,126.291,109.745,92.804,93.104,92.918,102.051,129.375,87.797,111.272,96.803,98.635,113.701,151.126,82.777,107.411,56.458,90.703,89.6,80.006,78.59, 
Paseo del Prado,94.326,24.917,40.83,110.779,54.98,69.379,56.776,34.313,35.932,84.756,74.11,26.292,51.481,14.57,105.139,86.964,95.375,45.921,54.99,66.406,68.411,119.838,44.539,36.675,69.031,7.533,32.565,62.508,38.787,37.277,125.835,67.619,6.19,79.216,119.551,33.73,40.301,6.907,29.019,98.28,0,118.382,112.339,16.496,35.375,51.664,62.376,81.45,69.354,21.407,92.903,82.68,32.282,40.018,16.274,9.236,41.941,63.894,56.54,14.161,42.808,62.933,41.984,45.054,49.267,21.496,44.099,33.682,77.499,30.44,24.927,25.785,31.291,35.053,104.251,9.81,36.33,55.471,58.167,6.118,19.886,50.567,12.628,69.074,8.994,37.93,95.57,64.763,6.001,63.881,99.827,80.64,24.02,82.495,17.272,19.06,58.641,52.63,8.93,6.723,48.781,33.132,15.293,15.594,9.388,7.321,70.758,30.111,14.051,10.661,43.186,55.084,92.509,38.989,10.388,82.823,25.672,10.238,18.229,15.061, 
Tenamaxtln,169.52,116.337,121.189,171.239,63.882,168.297,76.794,150.603,83.178,68.49,66.102,95.319,167.771,111.861,165.599,139.957,86.999,162.423,115.45,51.18,181.905,118.164,104.999,140.361,129.491,113.106,94.484,97.298,155.077,142.928,212.091,114.889,118.695,138.689,51.426,129.465,145.952,116.491,145.309,201.831,118.382,0,171.122,115.301,152.509,133.842,158.806,133.943,165.783,121.542,99.932,72.005,125.436,157.152,108.108,114.398,138.789,175.284,102.955,131.361,139.656,121.5,82.355,141.902,117.647,110.922,75.399,134.521,60.359,135.287,142.061,142.919,148.425,152.187,14.459,120.775,83.893,129.302,131.847,116.519,99.807,121.013,107.787,183.958,112.964,155.064,102.599,161.611,127.404,56.976,158.61,90.447,141.154,160.084,134.406,136.194,108.319,111.413,109.006,109.844,138.31,150.266,132.427,132.728,128.826,111.879,144.438,144.996,104.651,106.557,158.07,105.239,59.503,136.198,120.676,197.707,140.557,127.372,126.153,127.773, 
Concepcin de Buenos Aires,193.934,110.294,140.438,14.158,108.741,160.297,110.537,144.56,89.693,138.386,127.871,89.276,161.728,105.818,51.229,60.736,95.61,156.38,68.872,120.167,166.882,183.048,70.603,113.645,42.039,107.063,103.704,125.231,149.034,136.885,225.443,142.513,112.652,26.113,113.95,133.338,139.909,110.448,118.713,195.788,112.339,171.122,0,109.042,135.304,86.174,111.138,42.481,118.115,115.283,171.375,97.761,131.271,139.947,101.849,108.139,99.295,169.025,135.012,120.984,115.185,73.832,95.164,117.43,148.256,104.663,97.279,107.871,130.679,115.207,118.019,116.873,122.379,126.141,157.431,114.516,89.51,81.634,157.156,110.26,93.548,149.556,101.528,177.699,106.705,137.859,174.042,154.071,121.145,117.061,40.564,151.672,119.111,181.484,128.147,129.935,57.493,63.745,102.747,103.585,90.642,124.22,126.168,126.469,122.567,105.62,169.747,138.737,98.392,100.298,151.811,130.721,151.039,137.978,114.417,191.448,134.298,121.113,119.894,121.514, 
Palomar,90.663,33.213,37.167,108.719,52.92,76.356,54.716,41.29,33.872,81.093,72.05,24.231,58.458,27.075,103.079,84.904,93.315,53.11,52.93,64.346,72.592,116.175,42.479,43.652,66.971,14.793,30.603,52.129,45.764,33.614,122.172,63.956,22.283,77.156,117.491,30.067,36.638,18.652,35.996,92.518,16.496,115.301,109.042,0,43.34,59.629,70.341,78.003,77.319,42.616,88.982,79.233,28.361,47.983,25.897,18.144,49.906,66.115,52.619,31.538,50.773,59.27,38.537,53.019,45.346,30.646,40.652,41.647,74.052,38.405,32.892,33.75,39.256,43.018,100.804,22.044,32.883,63.436,54.246,19.928,16.587,46.646,12.567,74.789,6.034,45.895,91.649,72.728,18.235,60.434,96.38,76.719,31.985,78.574,25.237,27.025,55.194,49.183,25.673,9.748,56.746,41.097,23.258,23.559,19.657,12.604,66.837,35.827,24.376,9.907,48.901,51.163,88.588,35.068,24.367,88.538,31.388,18.203,16.984,18.605, 
La Punta,109.759,46.103,56.263,134.981,90.128,61.344,91.924,0,71.08,100.189,96.54,61.439,17.167,47.817,129.341,122.112,130.523,11.607,67.031,101.554,52.005,135.272,79.687,23.806,93.233,41.511,67.812,77.941,4.474,45.661,141.269,83.052,36.071,114.364,154.699,49.163,52.995,39.776,15.164,103.278,35.375,152.509,135.304,43.34,0,52.449,63.161,113.671,70.139,35.437,104.573,114.901,43.951,8.564,48.641,39.661,42.727,71.118,68.21,24.358,43.593,63.718,74.205,45.839,60.937,45.73,76.32,34.467,109.72,31.225,25.713,20.148,14.229,11.928,136.472,31.875,68.551,56.256,69.836,37.351,52.255,62.237,39.983,48.454,33.961,6.476,107.24,65.548,32.414,96.102,132.048,92.31,15.884,94.164,15.507,14.119,90.862,73.728,41.817,38.947,49.566,10.388,27.318,18.599,27.209,40.208,82.428,15.316,53.201,45.575,18.228,66.754,104.179,45.358,33.606,62.203,10.008,25.639,28.307,19.697, 
San Antonio Tlayacapan,136.683,34.342,83.187,85.851,71.461,57.464,73.257,52.449,52.413,101.106,90.591,51.996,69.617,44.935,80.211,103.445,111.856,64.057,17.901,82.887,65.813,162.196,33.323,28.757,44.103,48.634,66.424,87.951,46.369,71.559,168.193,109.976,41.301,63.707,136.032,76.087,79.219,45.006,33.825,129.175,51.664,133.842,86.174,59.629,52.449,0,26.813,95.814,33.79,34.563,134.64,97.044,74.018,55.052,46.577,49.788,14.4,102.242,98.277,36.089,30.29,12.548,56.348,32.535,91.004,40.105,58.463,22.976,91.863,30.312,33.124,31.978,37.484,41.246,118.615,43.606,50.694,5.086,99.903,47.478,54.732,92.304,62.712,99.424,61.267,52.964,137.307,52.245,45.239,78.245,73.655,122.377,34.216,124.231,43.086,44.874,73.005,22.558,52.412,58.512,6.317,39.325,46.883,38.164,46.774,59.773,112.495,61.012,47.559,61.482,64.716,96.821,112.223,77.243,45.337,113.173,56.022,45.204,58.374,53.019, 
Mezcala,147.394,45.054,93.898,110.815,96.425,20.46,98.221,63.161,77.377,126.07,115.555,68.154,55.227,55.647,105.175,128.409,136.82,49.667,42.865,107.851,28.809,172.907,58.287,39.469,69.067,59.346,76.875,115.576,46.083,82.271,178.904,120.687,52.013,88.671,160.996,86.798,89.93,55.718,44.537,139.887,62.376,158.806,111.138,70.341,63.161,26.813,0,120.438,7.144,44.35,144.427,121.668,83.805,64.84,56.364,59.576,23.737,112.029,108.064,45.877,20.558,37.172,80.972,18.644,100.791,49.892,83.087,32.763,116.487,40.1,42.911,41.765,47.271,37.895,143.239,53.394,75.318,29.71,109.69,57.266,65.75,102.091,71.946,92.876,71.055,62.752,147.094,18.142,55.027,102.869,98.279,132.164,44.003,134.018,52.874,54.662,97.629,47.182,62.199,68.3,20.579,49.112,56.671,47.952,56.562,69.561,122.282,70.8,57.346,74.928,66.989,106.608,144.033,87.03,55.125,106.625,65.809,54.992,68.161,62.806, 
Atoyac,163.045,79.405,109.549,56.521,71.562,131.365,53.561,113.671,51.138,101.207,90.692,58.387,130.839,74.929,82.278,12.623,47.497,125.491,78.518,82.988,144.973,152.159,68.067,103.429,92.559,76.174,72.815,94.342,118.145,105.996,194.554,111.624,81.763,30.702,65.837,102.449,109.02,79.559,108.377,164.899,81.45,133.943,42.481,78.003,113.671,95.814,120.438,0,127.855,83.615,139.707,67.732,99.603,119.225,70.181,76.471,100.862,137.357,103.344,93.434,101.729,83.572,62.508,103.975,116.588,72.995,64.623,96.594,98.023,97.36,104.134,104.992,110.498,114.26,124.775,82.848,50.849,91.374,125.488,78.592,61.88,117.888,69.86,146.031,75.037,117.137,142.374,123.684,89.477,84.405,73.814,119.016,103.227,149.816,96.479,98.267,27.464,73.485,71.079,71.917,100.382,112.339,94.5,94.801,90.899,73.952,138.079,107.069,66.724,68.63,120.143,99.053,118.383,106.31,82.749,159.78,102.63,89.445,88.226,89.846, 
San Pedro Itzicn,154.372,52.032,100.876,117.792,103.402,13.316,105.198,70.139,84.354,133.047,122.532,75.132,45.227,62.625,117.62,135.386,143.797,65.758,49.842,114.828,21.665,179.885,65.264,46.447,76.044,66.324,83.853,122.554,53.061,89.249,185.882,127.665,58.991,95.648,167.973,93.776,96.908,62.696,51.515,146.865,69.354,165.783,118.115,77.319,70.139,33.79,7.144,127.855,0,51.327,151.404,128.646,90.782,71.817,63.341,66.553,30.715,126.462,115.041,52.854,27.536,44.15,87.95,25.622,107.768,56.869,90.065,39.74,123.465,47.077,49.888,48.742,54.248,44.873,150.217,60.371,82.296,36.688,116.667,64.243,72.727,109.068,78.923,85.732,78.032,69.729,154.071,10.998,62.004,109.847,123.906,139.141,50.98,140.995,59.851,61.639,104.607,54.16,69.176,75.277,27.557,56.089,63.648,54.929,63.539,76.538,129.259,70.66,64.323,81.905,59.845,113.585,151.01,94.007,62.102,99.481,67.56,61.969,75.138,69.783, 
